restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
PV GURU MESS,Idly (4Pcs),,35,,,,0,0,Veg,08:00AM ,10:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
PV GURU MESS,Pongal,,45,,,,0,0,Veg,08:00AM ,10:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,1
PV GURU MESS,Dosai (2Pcs),,45,,,,0,0,Veg,08:00AM ,10:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
PV GURU MESS,Panner 65,,80,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,1
PV GURU MESS,Schezwan Panner,,80,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,1
PV GURU MESS,Gobi 65,,80,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,5,1
PV GURU MESS,Gobi Manchuriyan,,80,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,5,1
PV GURU MESS,Mixed Veg,,100,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,1
PV GURU MESS,Chappathi (2Pcs),,45,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,1,2
PV GURU MESS,Fulka (2Pcs),,45,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,2,2
PV GURU MESS,Pitta Bread (2 Pcs),,45,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,2
PV GURU MESS,Kadai Panner,,70,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,4,2
PV GURU MESS,Panner Butter Masala,,80,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,5,2
PV GURU MESS,Dal Fry,,70,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,6,2
PV GURU MESS,Dal Thakda,,70,,,,0,0,Veg,11:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,7,2
PV GURU MESS,Kadai Veg,,75,,,,0,0,Veg,08:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,1,3
PV GURU MESS,Chappathi (2 Pcs) + Gobi Manchuriyan + Lemon Juice,,130,,,,0,0,Veg,08:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offer,,0,,4,3
PV GURU MESS,Chappathi (2 Pcs) + Panner Butter Masala + Lemon Juice,,130,,,,0,0,Veg,08:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offer,,0,,5,3
PV GURU MESS,Chappathi (2 Pcs) + Dal Fry + Lemon Juice,,130,,,,0,0,Veg,08:00AM ,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offer,,0,,3,4
