restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
QUEENS TEA & FAST FOOD,Ginger Tea,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,1,,1,1
QUEENS TEA & FAST FOOD,Cardomon Tea,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,2
QUEENS TEA & FAST FOOD,Masala Tea,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,3
QUEENS TEA & FAST FOOD,Coffee Tea,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,4
QUEENS TEA & FAST FOOD,Lemon Tea,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,1,,1,5
QUEENS TEA & FAST FOOD,Green Tea,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,6
QUEENS TEA & FAST FOOD,Boost,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,7
QUEENS TEA & FAST FOOD,Horlicks,Serve 1 Person,50,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,8
QUEENS TEA & FAST FOOD,Bread Omelette,,50,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,1
QUEENS TEA & FAST FOOD,French Fries,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,2
QUEENS TEA & FAST FOOD,Vannila Ice Cream,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Creams,,0,,3,1
QUEENS TEA & FAST FOOD,Butter Scotch Ice Cream,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Creams,,0,,3,2
QUEENS TEA & FAST FOOD,Mango Ice Cream,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Creams,,0,,3,3
QUEENS TEA & FAST FOOD,Strawberry Ice Cream,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Creams,,0,,3,4
QUEENS TEA & FAST FOOD,Chocolate Ice Cream,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Creams,,0,,3,5
QUEENS TEA & FAST FOOD,Vennila Milkshake,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,4,1
QUEENS TEA & FAST FOOD,Chocolate Milkshake,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,4,2
QUEENS TEA & FAST FOOD,Butter Scotch Milkshake,,120,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,4,3
QUEENS TEA & FAST FOOD,Strawberry Milkshake,,130,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,4,4
QUEENS TEA & FAST FOOD,Role Milk,,70,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,4,5
QUEENS TEA & FAST FOOD,Badam Kheer,,70,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,4,6
QUEENS TEA & FAST FOOD,Falooda Regular,,140,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Falooda,,0,,5,1
QUEENS TEA & FAST FOOD,Falooda Royal,,170,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Falooda,,0,,5,2
QUEENS TEA & FAST FOOD,Lemon Juice,,30,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Juices,,0,,6,1
QUEENS TEA & FAST FOOD,Apple Juice,,100,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Juices,,0,,6,2
QUEENS TEA & FAST FOOD,Pomegranate Juice,,100,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Juices,,0,,6,3
QUEENS TEA & FAST FOOD,Pineapple Juice,,100,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Juices,,0,,6,4
QUEENS TEA & FAST FOOD,Lemon Mojito,,100,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,7,1
QUEENS TEA & FAST FOOD,Mint Mojito,,100,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,7,2
QUEENS TEA & FAST FOOD,Watermelon Mojito,,100,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,7,3
QUEENS TEA & FAST FOOD,Chicken Wings 1 Plate,,150,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,8,1
QUEENS TEA & FAST FOOD,Garlic Chicken Fingers 1 Plate,,120,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,8,2
QUEENS TEA & FAST FOOD,Chicken Popcorn 1 Plate,,120,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,8,3
QUEENS TEA & FAST FOOD,Chicken Momos 1 Plate,,110,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,8,4
QUEENS TEA & FAST FOOD,Veg Momos 1 Plate,,90,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,8,5
QUEENS TEA & FAST FOOD,Veg Fried Rice,,70,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,1
QUEENS TEA & FAST FOOD,Egg Fried Rice,,90,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,2
QUEENS TEA & FAST FOOD,Mushroom Fried Rice,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,3
QUEENS TEA & FAST FOOD,Paneer Fried Rice,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,4
QUEENS TEA & FAST FOOD,Chicken Fried Rice,,130,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,5
QUEENS TEA & FAST FOOD,Schezwan Chicken Fried Rice,,130,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,6
QUEENS TEA & FAST FOOD,Veg Noodles,,70,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,7
QUEENS TEA & FAST FOOD,Egg Noodles,,90,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,8
QUEENS TEA & FAST FOOD,Mushroom Noodles,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,9
QUEENS TEA & FAST FOOD,Paneer Noodles,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,10
QUEENS TEA & FAST FOOD,Chicken Noodles,,130,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,11
QUEENS TEA & FAST FOOD,Schezwan Chicken Noodles,,130,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,9,12
QUEENS TEA & FAST FOOD,Veg Burger,,80,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,10,1
QUEENS TEA & FAST FOOD,Paneer Burger,,110,,,,0,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,10,2
QUEENS TEA & FAST FOOD,Chicken Burger,,150,,,,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,10,3
