restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
RK Tandoori,Tomato Soup,,39.00,5,Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Hot & Sour Soup,,39.00,5,Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Sweet Corn Soup,,39.00,5,Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Manchow Soup,,39.00,5,Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Veg Clear Soup,,39.00,5,Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Tomato Soup,,49.00,5,Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Hot & Sour Soup,,49.00,5,Non Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Sweet Corn Soup,,49.00,5,Non Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Manchow Soup,,49.00,5,Non Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Veg Clear Soup,,49.00,5,Non Veg,12:01PM,10:30PM,1,,Soups,,0,
RK Tandoori,Chicken 65,,79.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Hyderabadi Chicken,,119.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chicken Lollipop,,79.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chicken Manchurian,,89.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli Chicken,,89.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Dragon Chicken,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Schezwan Chicken,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Fish 65,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Fish Finger,,139.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli Fish,,139.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Prawn 65,,119.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli Prawn,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Kaadai Fry,,89.00,5,Non Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Gobi Manchurian,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Mushroom Manchurian,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,BabyCorn Manchurian,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli Gobi,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli Mushroom,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli BabyCorn,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Chilli Paneer,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Paneer Manchurian,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Gobi 65,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Paneer 65,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Mushroom 65,,79.00,5,Veg,12:01PM,10:30PM,1,,Starters,,0,
RK Tandoori,Veg Pulao,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Rice,,0,
RK Tandoori,Ghee Rice,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Rice,,0,
RK Tandoori,Jeera Rice,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Rice,,0,
RK Tandoori,Veg Fried Rice,,49.00,5,Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Chicken Fried Rice,,69.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Mutton Fried Rice,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Prawn Fried Rice,,109.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Mix Fried Rice,,119.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Egg Fried Rice,,59.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Jeera Rice,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Rice,,0,
RK Tandoori,Schezwan Chicken Fried Rice,,79.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Schezwan Mix Fried Rice,,129.00,5,Non Veg,12:01PM,10:30PM,1,,Fried Rice,,0,
RK Tandoori,Chicken Noodles,,89.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Mutton Noodles,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Prawn Noodles,,109.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Mix Noodles,,119.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Egg Noodles,,59.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Veg Noodles,,49.00,5,Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Schezwan Chicken Noodles,,79.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Schezwan Mix Noodles,,129.00,5,Non Veg,12:01PM,10:30PM,1,,Noodles,,0,
RK Tandoori,Tandoori Roti,,10.00,5,Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Butter Roti,,15.00,5,Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Plain Naan,,25.00,5,Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Butter Naan,,30.00,5,Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Garlic Naan,,40.00,5,Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Parotta,,10.00,5,Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Kothu Parotta,,50.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Breads,,0,
RK Tandoori,Chicken Roll,,50.00,5,Non Veg,12:01PM,10:30PM,1,,Rolls,,0,
RK Tandoori,Egg Roll,,40.00,5,Non Veg,12:01PM,10:30PM,1,,Rolls,,0,
RK Tandoori,Chicken Masala,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Chicken Chettinad,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Pepper Chicken,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Punjabi Chicken,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Chicken,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Butter Chicken,,119.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Mutton Masala,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Mutton Chettinad,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Pepper Mutton,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Mutton,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Mutton Rogan Josh,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,kaadai Masala,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Prawn Masala,,159.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Prawn Curry,,159.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Pepper Prawn,,159.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Prawn,,159.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Fish Masala,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Fish,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Fish Curry,,149.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Chicken Manchurian,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Chilli Chicken,,99.00,5,Non Veg,12:01PM,10:30PM,1,,Indian Non Veg Gravy,,0,
RK Tandoori,Tandoori Chicken Full,,350.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Tandoori Chicken Half,,140.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Tandoori Chicken Quarter,,70.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Chicken Tikka,,60.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Hyderabadi Tikka,,70.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Kalmi Kabab,,99.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Tandoori Fish,,199.00,5,Non Veg,12:01PM,10:30PM,1,,R K Special,,0,
RK Tandoori,Egg Burji Masala,,79.00,5,Non Veg,12:01PM,10:30PM,1,,Egg Varieties,,0,
RK Tandoori,Omlet (Chinese),,39.00,5,Non Veg,12:01PM,10:30PM,1,,Egg Varieties,,0,
RK Tandoori,Dal Fry,,69.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Dal Tadka,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Gobi Masala,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Mix Veg Curry,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Kadai Vegetable,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Paneer Butter Masala,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Kadai Paneer,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Sahi Paneer,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Palak Paneer,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Mutter Paneer,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Aloo Paneer,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Aloo Mutter,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Aloo Jeera,,79.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Gobi Manchurian,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Mushroom Manchurian,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,BabyCorn Manchurian,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Chilli Gobi,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Chilli Mushroom,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Chilli BabyCorn,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Chilli Paneer,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
RK Tandoori,Paneer Manchurian,,89.00,5,Veg,12:01PM,10:30PM,1,,Indian Veg Gravy,,0,
