restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
RK Tandoori,Tomato Soup,,39,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Hot & Sour Soup,,39,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Sweet Corn Soup,,39,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Manchow Soup,,39,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Veg Clear Soup,,39,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Tomato Soup,,49,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Hot & Sour Soup,,49,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Sweet Corn Soup,,49,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Manchow Soup,,49,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Veg Clear Soup,,49,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
RK Tandoori,Chicken 65,,79,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,CHICKEN_65.jpeg,Starters,,1,
RK Tandoori,Hyderabadi Chicken,,119,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chicken Lollipop,,79,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,chicken_lollipop.jpeg,Starters,,1,
RK Tandoori,Chicken Manchurian,,89,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chilli Chicken,,89,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Dragon Chicken,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Schezwan Chicken,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Fish 65,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Fish Finger,,139,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chilli Fish,,139,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Prawn 65,,119,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,prawn 65.jpeg,Starters,,1,
RK Tandoori,Chilli Prawn,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Kaadai Fry,,89,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Gobi Manchurian,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Mushroom Manchurian,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,BabyCorn Manchurian,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chilli Gobi,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chilli Mushroom,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chilli BabyCorn,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Chilli Paneer,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Paneer Manchurian,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Gobi 65,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,gopi_65.jpeg,Starters,,1,
RK Tandoori,Paneer 65,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Mushroom 65,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RK Tandoori,Veg Pulao,,89,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Rice,,0,
RK Tandoori,Ghee Rice,,89,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Rice,,0,
RK Tandoori,Jeera Rice,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Rice,,0,
RK Tandoori,Veg Fried Rice,,49,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Chicken Fried Rice,,69,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Mutton Fried Rice,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Prawn Fried Rice,,109,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,prawn fried rice.jpeg,Fried Rice,,1,
RK Tandoori,Mix Fried Rice,,119,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Egg Fried Rice,,59,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Jeera Rice,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Rice,,0,
RK Tandoori,Schezwan Chicken Fried Rice,,79,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Schezwan Mix Fried Rice,,129,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
RK Tandoori,Chicken Noodles,,89,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Mutton Noodles,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Prawn Noodles,,109,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Mix Noodles,,119,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Egg Noodles,,59,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Veg Noodles,,49,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Schezwan Chicken Noodles,,79,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Schezwan Mix Noodles,,129,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Noodles,,0,
RK Tandoori,Tandoori Roti,,10,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,tandoori_rotti.jpeg,Indian Breads,,1,
RK Tandoori,Butter Roti,,15,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
RK Tandoori,Plain Naan,,25,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
RK Tandoori,Butter Naan,,30,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
RK Tandoori,Garlic Naan,,40,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
RK Tandoori,Parotta,,10,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
RK Tandoori,Kothu Parotta,,50,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
RK Tandoori,Chicken Roll,,50,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Rolls,,0,
RK Tandoori,Egg Roll,,40,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Rolls,,0,
RK Tandoori,Chicken Masala,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Chicken Chettinad,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Pepper Chicken,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Punjabi Chicken,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Chicken,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Butter Chicken,,119,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Mutton Masala,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Mutton Chettinad,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Pepper Mutton,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Mutton,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Mutton Rogan Josh,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,kaadai Masala,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Prawn Masala,,159,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Prawn Curry,,159,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Pepper Prawn,,159,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Prawn,,159,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Fish Masala,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Kadai Fish,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Fish Curry,,149,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Chicken Manchurian,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Chilli Chicken,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Non Veg Gravy,,0,
RK Tandoori,Tandoori Chicken Full,,350,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,TandooriChicken_Full.jpeg,R K Special,,1,
RK Tandoori,Tandoori Chicken Half,,140,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,R K Special,,0,
RK Tandoori,Tandoori Chicken Quarter,,70,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,R K Special,,0,
RK Tandoori,Chicken Tikka,,60,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,CHICKEN_TIKKA.jpeg,R K Special,,1,
RK Tandoori,Hyderabadi Tikka,,70,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,R K Special,,0,
RK Tandoori,Kalmi Kabab,,99,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,R K Special,,0,
RK Tandoori,Tandoori Fish,,199,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,fish-tandori.jpeg,R K Special,,1,
RK Tandoori,Egg Burji Masala,,79,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Varieties,,0,
RK Tandoori,Omlet (Chinese),,39,5,Non Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Varieties,,0,
RK Tandoori,Dal Fry,,69,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
RK Tandoori,Dal Tadka,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
RK Tandoori,Gobi Masala,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
RK Tandoori,Mix Veg Curry,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
RK Tandoori,Kadai Vegetable,,79,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
RK Tandoori,Paneer Butter Masala,,89,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
RK Tandoori,Kadai Paneer,,89,5,Veg,,,,,12:01PM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Veg Gravy,,0,
