restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
RAMASWAMY TIFFEN STALL,Idly (2 Nos),,20,,,,5,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
RAMASWAMY TIFFEN STALL,Parotta (2 Nos),,30,,,,5,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
RAMASWAMY TIFFEN STALL,Bun Parotta,,20,,,,5,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
RAMASWAMY TIFFEN STALL,Veechu Parotta,,20,,,,5,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
RAMASWAMY TIFFEN STALL,Kothu Parotta,,80,,,,5,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
RAMASWAMY TIFFEN STALL,Mutton Kothu Parotta,,190,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
RAMASWAMY TIFFEN STALL,Kudal Kothu Parotta,,190,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
RAMASWAMY TIFFEN STALL,Veg Kothu,,70,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,8
RAMASWAMY TIFFEN STALL,Plain Dosai,,20,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,1
RAMASWAMY TIFFEN STALL,Kal Dosai,,20,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,2
RAMASWAMY TIFFEN STALL,Egg Dosai,,50,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,3
RAMASWAMY TIFFEN STALL,Onion Dosai,,50,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,4
RAMASWAMY TIFFEN STALL,Garlic Dosai,,50,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,5
RAMASWAMY TIFFEN STALL,Tomato Dosai,,50,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,6
RAMASWAMY TIFFEN STALL,Cury Dosai,,160,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,7
RAMASWAMY TIFFEN STALL,Roast,,40,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,8
RAMASWAMY TIFFEN STALL,Egg Roast,,60,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,9
RAMASWAMY TIFFEN STALL,Onion Roast,,70,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,10
RAMASWAMY TIFFEN STALL,Uthappam,,40,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,11
RAMASWAMY TIFFEN STALL,Onion Uthappam,,70,,,,10,Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,12
RAMASWAMY TIFFEN STALL,Egg Uthappam,,60,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,13
RAMASWAMY TIFFEN STALL,Egg Bun,,30,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,1
RAMASWAMY TIFFEN STALL,Egg Veechu,,30,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,2
RAMASWAMY TIFFEN STALL,Egg Lappa,,50,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,3
RAMASWAMY TIFFEN STALL,Omlet,,20,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,4
RAMASWAMY TIFFEN STALL,Egg Poriyal,,20,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,5
RAMASWAMY TIFFEN STALL,Full Boli,,10,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,6
RAMASWAMY TIFFEN STALL,Kalaki,,10,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,7
RAMASWAMY TIFFEN STALL,Onion Kalaki,,20,,,,5,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,8
RAMASWAMY TIFFEN STALL,Kuzhambu Kalaki,,10,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Egg Items,,0,,3,9
RAMASWAMY TIFFEN STALL,Nattukozhi Chukka,,110,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,4,1
RAMASWAMY TIFFEN STALL,Nattukozhi Chukka Fry,,120,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,4,2
RAMASWAMY TIFFEN STALL,Nattukozhi Chops,,150,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,4,3
RAMASWAMY TIFFEN STALL,Nattukozhi Chops Fry,,160,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Nattukozhi Specials,,0,,4,4
RAMASWAMY TIFFEN STALL,Mutton Fry,,120,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Mutton Dishes,,0,,5,1
RAMASWAMY TIFFEN STALL,Kudal Fry,,120,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Mutton Dishes,,0,,5,2
RAMASWAMY TIFFEN STALL,Kudal Egg Fry,,130,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Mutton Dishes,,0,,5,3
RAMASWAMY TIFFEN STALL,Brain Fry,,120,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Mutton Dishes,,0,,5,4
RAMASWAMY TIFFEN STALL,Brain Egg Fry,,130,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Mutton Dishes,,0,,5,5
RAMASWAMY TIFFEN STALL,Thalai Cury Fry,,120,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Mutton Dishes,,0,,5,6
RAMASWAMY TIFFEN STALL,Mutton,,110,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,6,1
RAMASWAMY TIFFEN STALL,Kudal,,110,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,6,2
RAMASWAMY TIFFEN STALL,Brain,,110,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,6,3
RAMASWAMY TIFFEN STALL,Thalai Cury,,110,,,,10,Non Veg,,,,,,,05:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,6,4
