restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
RAVIS FOOD COURT,Veg Burger,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Weekend Treats,,0,,1,1
RAVIS FOOD COURT,Veg Pizza,,80,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Weekend Treats,,0,,1,2
RAVIS FOOD COURT,Extra Cheese,,20,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Weekend Treats,,0,,1,3
RAVIS FOOD COURT,Veg Cheese Sandwich,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,1
RAVIS FOOD COURT,Veg Sandwich,,50,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,2
RAVIS FOOD COURT,Babycorn Sandwich,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,3
RAVIS FOOD COURT,Bombay Sandwich,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,4
RAVIS FOOD COURT,Chocolate Sandwich,,70,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,4
RAVIS FOOD COURT,Extra Cheese,,10,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,5
RAVIS FOOD COURT,Veg Soup,,25,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soupy Treats,,0,,3,1
RAVIS FOOD COURT,Babycorn Soup,,30,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soupy Treats,,0,,3,2
RAVIS FOOD COURT,Mushroom Soup,,30,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soupy Treats,,0,,3,3
RAVIS FOOD COURT,Gobi 65,,50,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,1
RAVIS FOOD COURT,Gobi Manchurian,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,2
RAVIS FOOD COURT,Gobi Masala,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,3
RAVIS FOOD COURT,Mushroom 65,,55,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,4
RAVIS FOOD COURT,Mushroom Manchurian,,65,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,5
RAVIS FOOD COURT,Mushroom Masala,,65,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,6
RAVIS FOOD COURT,Babycorn 65,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,7
RAVIS FOOD COURT,Babycorn Manchurian,,70,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,8
RAVIS FOOD COURT,Veg Noodles,,55,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,9
RAVIS FOOD COURT,Mushroom Noodles,,65,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,10
RAVIS FOOD COURT,Schezwan Noodles,,65,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,11
RAVIS FOOD COURT,Veg Fried Rice,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,12
RAVIS FOOD COURT,Mushroom Fried Rice,,70,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,13
RAVIS FOOD COURT,Schezwan Fried Rice,,70,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,14
RAVIS FOOD COURT,Chappathi (2 Nos),,40,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,15
RAVIS FOOD COURT,Chilly Parotta,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,16
RAVIS FOOD COURT,Kaima Parotta,,60,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,17
RAVIS FOOD COURT,Bhel Puri,,30,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,1
RAVIS FOOD COURT,Bombay Bhel,,40,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,2
RAVIS FOOD COURT,Masala Puri,,40,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,3
RAVIS FOOD COURT,Channa Masala,,50,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,4
RAVIS FOOD COURT,Dahi Puri,,50,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,5
RAVIS FOOD COURT,Pani Puri,,25,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,6
RAVIS FOOD COURT,Cutlet,,20,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,7
RAVIS FOOD COURT,Rose Milk,,50,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chilled Treats,,0,,6,1
RAVIS FOOD COURT,Ice Lemon Tea,,35,,,,5,0,Veg,11:00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chilled Treats,,0,,6,2
