restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
RAVIS FOOD COURT,Veg Burger,,60,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Weekend Treats,,0,,1,1
RAVIS FOOD COURT,Veg Cheese Sandwich,,60,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,1
RAVIS FOOD COURT,Veg Sandwich,,50,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich Treats,,0,,2,2
RAVIS FOOD COURT,Gobi 65,,60,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,1
RAVIS FOOD COURT,Gobi Manchurian,,70,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,2
RAVIS FOOD COURT,Gobi Masala,,70,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,3
RAVIS FOOD COURT,Chappathi (2 Nos),,40,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,15
RAVIS FOOD COURT,Chilly Parotta,,60,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,16
RAVIS FOOD COURT,Kaima Parotta,,60,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Treats,,0,,4,17
RAVIS FOOD COURT,Bhel Puri,,30,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,1
RAVIS FOOD COURT,Bombay Bhel,,40,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,2
RAVIS FOOD COURT,Masala Puri,,40,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,3
RAVIS FOOD COURT,Pani Puri,,25,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,0,,5,6
RAVIS FOOD COURT,Cutlet,,20,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Treats,,1,,5,7
RAVIS FOOD COURT,Rose Milk,,50,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chilled Treats,,0,,6,1
RAVIS FOOD COURT,Ice Badam Milk,,50,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chilled Treats,,0,,6,3
RAVIS FOOD COURT,French Fries,,50,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Treats,,0,,8,1
RAVIS FOOD COURT,Aloo Tikki,,40,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Treats,,0,,8,4
RAVIS FOOD COURT,Potato Pops,,45,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Treats,,0,,8,5
RAVIS FOOD COURT,Veg Nuggets,,50,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Treats,,0,,8,6
RAVIS FOOD COURT,Veg Patty,,30,,,,5,0,Veg,10:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Treats,,0,,8,8
