restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Naattu Kozhi Biriyani,,150,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mutton Biriyani,,180,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,2
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpaanai Kaatan Varuval,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,3
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpaanai Naattu  Kozhi Aasari Chicken,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,4
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpaanai Naattu Kozhi Pallipalayam,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,5
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpanai Naattu Kozhi Uppukari,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,6
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpanainattu Kozhi Varuval 1 Kg,,700,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,7
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpanai Uppukari 1/2,,350,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,8
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Veg Biriyani,,100,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mushroom Biriyani,,110,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,2
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Van Kozhi Biriyani,,150,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,3
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mt Biriyani,,90,,,,5,Non Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,4
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mt Biriyani 1/2,,50,,,,5,Non Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,5
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Veg Meals,,75,,,,5,Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Non Veg Meals,"Thanni Kulambu, Meen Kulambu, Thakkali Rasam, Pachapuli Rasam, More",90,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,2
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Extra Meals,,30,,,,5,Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,3
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Curd,,20,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Special Cool Payasam,,50,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,2
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Cool Drinks ,,40,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,3
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Butter Milk,,20,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,4
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Lemon Juice,,30,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,5
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Lemon Soda,,40,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,6
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Payasam,,30,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Deserts,,0,,19,7
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Dosai,,30,,,,5,Veg,,,,,12:30PM,06:00PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,7,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Chappathi (2 Pcs),,30,,,,5,Veg,,,,,12:30PM,06:00PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,7,2
