restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Nattu Kozhi Biriyani,,150,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,1,,3,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpaanai Kaatan Varuval,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,3
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpaanai Nattu Kozhi Aasari Chicken,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,4
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpaanai Nattu Kozhi Pallipalayam,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,5
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpanai Nattu Kozhi Uppukari,,130,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,6
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpanai Nattu Kozhi Varuval (1 Kg),,700,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,7
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Manpanai Uppukari (1/2 Kg),,350,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Manpaanai Samayal,,0,,3,8
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Veg Biriyani,,100,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,1
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mushroom Biriyani,,110,,,,5,Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,2
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mutton Briyani,,180,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Briyani,,1,,3,2
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mt Biriyani,,90,,,,5,Non Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,4
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Mt Biriyani (1/2),,50,,,,5,Non Veg,12:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,5
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Van Kozhi Biriyani,,150,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,7,1,,Van Kozhi Specials,,1,,4,3
R.K MESS & RESTAURANT MANPAANAI SAMAYAL,Vankozhi Varuval,,170,,,,5,Non Veg,,,,,12:00PM,03:30PM,,,7,1,,Van Kozhi Specials,,1,,4,3
