restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
RAJSHREE PUNJABI DHABA,Tomato Soup,,63,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup,,0,
RAJSHREE PUNJABI DHABA,Hot & Sour Soup,,63,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup,,0,
RAJSHREE PUNJABI DHABA,Sweet Corn Veg Soup,,63,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup,,0,
RAJSHREE PUNJABI DHABA,Paneer Tikka (5 Pieces),,104,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Chilli Paneer Dry,,104,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Dragon Paneer,,104,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Paneer 65,,104,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Chilli Baby Corn Dry,,84,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Veg Balls Dry(5 Pieces),,69,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Chilli Gobi Dry,,74,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Gobi Manchurian Dry,,79,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Chilli Mushroom Dry,,104,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Gobi 65,,79,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Mushroom 65,,104,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,French Fries,,53,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Dragon Aloo,,74,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Chilli Garlic Potato,,79,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Mini Samosa(5 Pieces),,37,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Veg Roll,,79,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
RAJSHREE PUNJABI DHABA,Paneer Butter Masala,,126,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Main Course,,0,
RAJSHREE PUNJABI DHABA,Paneer Khurchan,,126,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Main Course,,0,
RAJSHREE PUNJABI DHABA,Punjabi Paneer,,126,5,Veg,,,,,10:30AM,3:30PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Main Course,,0,
