restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Rangalaya Royal,Pineapple pasta salad,,95,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,
Rangalaya Royal,Caesar salad,,116,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,
Rangalaya Royal,Kaju mushroom,,189,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,
Rangalaya Royal,Gobi vepudu ,,137,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,
Rangalaya Royal,Kakinada Babycorn,,147,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,
Rangalaya Royal,Gobi flame,,147,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,
Rangalaya Royal,Corn Cheese Balls,,168,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,
Rangalaya Royal,Chilli paneer,,179,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Paneer Manchurian,,179,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Mushroom Manchurian,,179,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Chilli gobi,,137,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Dragon gobi,,137,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Gobi Manchurian,,137,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Corn dragon rolls ,,137,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Paneer tikka,,179,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,
Rangalaya Royal,Mutton roast,,252,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Keerannur kozhi varuval,,210,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Masala fried fish,,273,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Kodi 555,,210,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Telangana kodi vepudu,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Chicken Tikka,,210,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Pallipalayam chicken,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Tangri Kebab,,210,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Tandoori murgh – half,,231,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
Rangalaya Royal,Tandoori murgh –  full,,410,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
Rangalaya Royal,Chicken - dragon,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Drums of heaven,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Crispy fried chicken,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Mongolian chicken ,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Shredded chicken bell pepper ,,200,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Chilli fish,,252,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
Rangalaya Royal,Prawn Manchurian,,252,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Non Veg Starters,,0,
