restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,,
Rangalaya Royal,Pineapple pasta salad,,90,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,,
Rangalaya Royal,Caesar salad,,110,,Non Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,,
Rangalaya Royal,Kaju mushroom,,180,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Gobi vepudu ,,130,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Kakinada Babycorn,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Gobi flame,,140,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Corn Cheese Balls,,160,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Indian Starters,,0,,,
Rangalaya Royal,Chilli paneer,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Manchurian – paneer,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
Rangalaya Royal,Manchurian – mushroom,,170,,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Oriental Veg Starters,,0,,,
