restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
REFRESH JUICE BAR,Fig Fruit Juice (Athipalam) (300ml),,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,1
REFRESH JUICE BAR,Pomegranate Juice (300ml),,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,2
REFRESH JUICE BAR,Apple Juice (300ml),,50,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,3
REFRESH JUICE BAR,Pinnaple Juice  (300ml),,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,4
REFRESH JUICE BAR,Gooseberry Juice (Nellikai) (300ml),,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,5
REFRESH JUICE BAR,Grapes Juice (300ml),,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,6
REFRESH JUICE BAR,Dates Juice (300ml),,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,7
REFRESH JUICE BAR,Red Plantain Juice(Sevalai palam) (300ml),,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,8
REFRESH JUICE BAR,Tender Coconut Juice (500ml),,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,9
REFRESH JUICE BAR,Pappya Juice (300ml),,30,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,10
REFRESH JUICE BAR,Water Melon Juice (300ml),,30,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,11
REFRESH JUICE BAR,Musk Melon(Mulam Pazham Juice) (300ml),,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,1,12
REFRESH JUICE BAR,Nattusakkarai Thengappal,,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Coconut Milk,,0,,2,1
REFRESH JUICE BAR,Lemon Kulukki  Sarbath,,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,1
REFRESH JUICE BAR,Mathulai Kulukki Sarbath,,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,2
REFRESH JUICE BAR,Carrot Kulukki Sarbath,,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,3
REFRESH JUICE BAR,Grapes Kulukki Sarbath,,50,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,4
REFRESH JUICE BAR,Painapple Kulukki Sarbath,,50,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,5
REFRESH JUICE BAR,Musambi Kulukki Sarbath,,50,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,6
REFRESH JUICE BAR,Orange Kulukki Sarbath,,60,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,7
REFRESH JUICE BAR,Special Bhatham Milk,,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,8
REFRESH JUICE BAR,Special Rose Milk,,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,9
REFRESH JUICE BAR,Lemon Soda,,35,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,10
REFRESH JUICE BAR,Lemon Soda Sarbath,,40,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sarbath,,0,,3,11
REFRESH JUICE BAR,Normal Mixed Sweets 1 Kg,,490,,,,0,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,1
REFRESH JUICE BAR,Normal Mixed Sweets 1/2 Kg,,245,,,,5,Veg,09.00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,2
