restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL SAGAR,Mutton Briyani,,140,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
HOTEL SAGAR,Chicken Briyani,,110,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,2
HOTEL SAGAR,Kushka,,60,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,3
HOTEL SAGAR,Chicken 65,,50,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,1
HOTEL SAGAR,Chicken Boneless,,60,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,2
HOTEL SAGAR,Chicken Lollipop (4 Pc),,80,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,3
HOTEL SAGAR,Mint Chicken Boneless,,60,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,4
HOTEL SAGAR,Chicken Leg Piece,,50,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,5
HOTEL SAGAR,Sagar Fried Chicken,,70,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,6
HOTEL SAGAR,Kaadai Fry,,70,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,7
HOTEL SAGAR,Mutton Boneless,,90,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,8
HOTEL SAGAR,Fish Fry,,40,,,,7,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dry Items,,0,,2,9
