restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SAKTHI VEGETABLES,Ooty Potato 1/4 Kgs,,20,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,1
SAKTHI VEGETABLES,Normal Potato  1/4 Kgs,,13,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,2
SAKTHI VEGETABLES,Bark Him (Pattai Avarai) 1/4 Kgs,,27,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,3
SAKTHI VEGETABLES,Chicken Him( Kozhi Avarai) 1/4Kgs,,33,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,4
SAKTHI VEGETABLES,Capsicum 1/4 Kgs,,33,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,5
SAKTHI VEGETABLES,Cluster Beans( Kothavarankai) 1/4 Kgs,,18,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,6
SAKTHI VEGETABLES,Bottle Gourd( Surakai) 1/4 Kgs,,27,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,7
SAKTHI VEGETABLES,GreenChilly 1/4Kgs,,27,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,8
SAKTHI VEGETABLES,Bitter Gourd( Bavarkai) 1/4Kgs,,20,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,9
SAKTHI VEGETABLES,Ridge Gourd(Peerkangai)1/4Kgs,,20,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,10
SAKTHI VEGETABLES,Snake Gourd(Pudalangai) 1/4Kgs,,13,,,,0,Veg,07:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Vegetables,,0,,1,11
