restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
SBR Briyani,Chicken Briyani,,120,6,Non Veg,,,,,11:30AM,2:30PM,6:30PM,8:30PM,"1,2,3,4,5,6,7",1,chicken_biriyani.jpg,Briyani,,1,
SBR Briyani,Mutton Briyani,,150,7.5,Non Veg,,,,,11:30AM,2:30PM,,,"1,2,3,4,5,6,7",1,mutton_biriyani.jpg,Briyani,,1,
SBR Briyani,Kushka,,60,3,Non Veg,,,,,11:30AM,2:30PM,6:30PM,8:30PM,"1,2,3,4,5,6,7",1, , ,,0,
SBR Briyani,Chicken Pakoda,,40,2,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
SBR Briyani,Chicken Pakoda Boneless,,100,5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
SBR Briyani,Chicken 65 Boneless,,70,3.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,chicken_65.jpg,Starters,,1,
SBR Briyani,Chicken Lollipop,,60,3,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
SBR Briyani,Mutton 65,,90,4.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
SBR Briyani,Vanjaram Fish,,140,7,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
SBR Briyani,Fish Fry,,40,2,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,fish_fry.jpg,Starters,,1,
SBR Briyani,Nethili Pakoda,,50,2.5,Non Veg,,,,,11:30AM,3:00PM,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,
SBR Briyani,Alfam Chicken Full,,340,17,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Alfam Chicken Half,,170,8.5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Alfam Chicken Leg,,80,4,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Alfam Chicken Chest,,90,4.5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Malay Kabab,,100,5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Chicken Kabab,,100,5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Hariyali Kabab,,100,5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
SBR Briyani,Tandoori Fish,,180,9,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,Tandoori_Fish.jpg,Tandoori,,1,
SBR Briyani,Plain Roti,,15,0.75,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
SBR Briyani,Butter Roti,,20,1,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
SBR Briyani,Plain Naan,,25,1.25,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
SBR Briyani,Butter Naan,,30,1.5,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
SBR Briyani,Tandoori Parotta,,20,1,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,Tandoori_Parotta.jpg,Breads,,0,
SBR Briyani,Egg Semiya,,50,2.5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,South Indian,,0,
SBR Briyani,Semiya,,30,1.5,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,South Indian,,0,
SBR Briyani,Chicken Masala,,100,5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,Chicken_Masala.jpg,Gravy'S,,1,
SBR Briyani,Chicken Chettinad,,100,5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,
SBR Briyani,Pepper Chicken,,100,5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,
SBR Briyani,Mutton Masala,,130,6.5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,
SBR Briyani,Plain Gravy,,40,2,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,
SBR Briyani,Egg Masala,,60,3,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,
SBR Briyani,Veg Fried Rice,,80,4,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Chinese Fried Rice,,0,
SBR Briyani,Veg Noodles,,80,4,Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,veg_noodles.jpg,Chinese Noodles,,1,
SBR Briyani,Egg Fried Rice,,90,4.5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Chinese Fried Rice,,0,
SBR Briyani,Egg Noodles,,90,4.5,Non Veg,,,,,,,6:30PM,9:30PM,"1,2,3,4,5,6,7",1,,Chinese Noodles,,0,
