restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SENTHIL ANDAVAR MESS,Idly 2 Pc,,20,,,,0,Veg,8:00AM,11:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,1,1
SENTHIL ANDAVAR MESS,Kal Dosai,,30,,,,0,Veg,8:00AM,11:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,1,2
SENTHIL ANDAVAR MESS,Poori 2 Pc,,60,,,,0,Veg,8:00AM,11:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,1,3
SENTHIL ANDAVAR MESS,Pongal,,80,,,,0,Veg,8:00AM,11:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,1,4
SENTHIL ANDAVAR MESS,Roast,,80,,,,0,Veg,8:00AM,11:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,1,5
SENTHIL ANDAVAR MESS,Onion Dosai,,80,,,,0,Veg,8:00AM,11:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,,1,6
SENTHIL ANDAVAR MESS,Gobi 65,,140,,,,0,Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,1
SENTHIL ANDAVAR MESS,Mushroom 65,,150,,,,0,Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
SENTHIL ANDAVAR MESS,Paneer 65,,160,,,,0,Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
SENTHIL ANDAVAR MESS,Gobi Manchurian,,150,,,,0,Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
SENTHIL ANDAVAR MESS,Mushroom Manchurian,,170,,,,0,Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
SENTHIL ANDAVAR MESS,Paneer Manchurian,,180,,,,0,Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
SENTHIL ANDAVAR MESS,Chicken 65,,180,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
SENTHIL ANDAVAR MESS,Chicken Pepper Fry,,210,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
SENTHIL ANDAVAR MESS,Chicken Manchurian,,210,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,9
SENTHIL ANDAVAR MESS,SAM Special Chicken,,230,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,10
SENTHIL ANDAVAR MESS,Chicken Lollipop 4 Pcs,,200,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,11
SENTHIL ANDAVAR MESS,Kaadai Roast,,180,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,12
SENTHIL ANDAVAR MESS,Nattukozhi Uppukari,,240,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,13
SENTHIL ANDAVAR MESS,Nattukozhi Kaatu Varuval,,260,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,14
SENTHIL ANDAVAR MESS,Mutton Chukka,,250,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,15
SENTHIL ANDAVAR MESS,Mutton Kudal Fry,,200,,,,0,Non Veg,12:00PM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,16
