restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SHAKEY SHOP,French Fries,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fries,,0,,1,1
SHAKEY SHOP,Paper Salf Fries,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fries,,0,,1,2
SHAKEY SHOP,Veg Nuggets,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,1
SHAKEY SHOP,Veg Cutlet,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,2
SHAKEY SHOP,Veg Finger,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,3
SHAKEY SHOP,Veg Roll,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,4
SHAKEY SHOP,Corn Roll,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,5
SHAKEY SHOP,Smiles,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,6
SHAKEY SHOP,Chicken Nuggets,,104,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,7
SHAKEY SHOP,Chicken Roll,,104,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,8
SHAKEY SHOP,Chicken Cutlet,,104,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,9
SHAKEY SHOP,Chicken Hot Dog,,130,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,2,10
SHAKEY SHOP,Veg Sandwich,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,1
SHAKEY SHOP,Special Chilly Cheese Sandwich,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,2
SHAKEY SHOP,Mushroom Cheese Sandwich,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,3
SHAKEY SHOP,Paneer Cheese Sandwich,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,4
SHAKEY SHOP,Chicken Cheese Sandwich,,117,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,5
SHAKEY SHOP,Nuteral Sandwich,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,6
SHAKEY SHOP,Veg Double Top Sandwich,,117,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,7
SHAKEY SHOP,Egg Cheese Sandwich,,117,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,8
SHAKEY SHOP,Bread Cheese Sandwich,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,9
SHAKEY SHOP,Veg Burger,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,4,1
SHAKEY SHOP,Paneer Burger,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,4,2
SHAKEY SHOP,Chicken Burger,,104,,,,0,0,Non veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,4,3
SHAKEY SHOP,Veg Double Top Burger,,130,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,4,4
SHAKEY SHOP,Kiwi Mojito,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,1
SHAKEY SHOP,Pine Fine Mojito,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,2
SHAKEY SHOP,Green Apple Mojito,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,3
SHAKEY SHOP,Strawberry Mojito,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,4
SHAKEY SHOP,Orange Mojito,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,5
SHAKEY SHOP,Grape Mojito,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,6
SHAKEY SHOP,Black Current Mojito,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mojitos,,0,,5,7
SHAKEY SHOP,Pine Fine Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,1
SHAKEY SHOP,Apple Fresh Juice,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,2
SHAKEY SHOP,Mango Fresh Juice,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,3
SHAKEY SHOP,Strawberry Fresh Juice,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,4
SHAKEY SHOP,Mint Lime Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,5
SHAKEY SHOP,Musambi Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,6
SHAKEY SHOP,Muskmelon Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,7
SHAKEY SHOP,Watermelon Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,8
SHAKEY SHOP,Carrot Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,9
SHAKEY SHOP,Guava Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,10
SHAKEY SHOP,Orange Fresh Juice,,78,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,11
SHAKEY SHOP,Cucumber Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,12
SHAKEY SHOP,Amala Fresh Juice,,65,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,13
SHAKEY SHOP,Pomegranate Fresh Juice,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Juice,,0,,6,14
SHAKEY SHOP,Nuterala Shake,,117,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,1
SHAKEY SHOP,Banana Nuts Shake,,117,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,2
SHAKEY SHOP,Tuti Fruti Shake,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,3
SHAKEY SHOP,Gulkhand Shake,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,4
SHAKEY SHOP,Coffee Shake,,91,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,5
SHAKEY SHOP,Fruits Nut Cookies Shake,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,6
SHAKEY SHOP,Choco Ripple Cookies Shake,,104,,,,0,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,7,7
