restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SIVMURUGAA RESTAURANT,Idly (2 Pcs),,35,,,,,0,Veg,,,08:00AM,10:00AM,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,1
SIVMURUGAA RESTAURANT,Pongal,,69,,,,,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,2
SIVMURUGAA RESTAURANT,Roast,,66,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,7
SIVMURUGAA RESTAURANT,Ghee Roast,,83,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,8
SIVMURUGAA RESTAURANT,Masal Roast,,83,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,9
SIVMURUGAA RESTAURANT,Butter Roast,,85,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,10
SIVMURUGAA RESTAURANT,Onion Roast,,83,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,11
SIVMURUGAA RESTAURANT,Uthappam,,69,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,1
SIVMURUGAA RESTAURANT,Onion Uthappam,,81,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,2
SIVMURUGAA RESTAURANT,Rava Roast,,75,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,6
SIVMURUGAA RESTAURANT,Tomotto Rice,,75,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,2
SIVMURUGAA RESTAURANT,Full Meals Parcel,,115,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,5
SIVMURUGAA RESTAURANT,Parotta With Kuruma ,,35,,,,,0,Veg,,,,,11:30AM,03:30PM,03:45PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
SIVMURUGAA RESTAURANT,Chappathi 1pc,,46,,,,,0,Veg,,,,,11:30AM,03:30PM,03:45PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
SIVMURUGAA RESTAURANT,Veg Kothu Parotta,,81,,,,,0,Veg,01:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
SIVMURUGAA RESTAURANT,Roti,,46,,,,,0,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,1,7
SIVMURUGAA RESTAURANT,Naan,,46,,,,,0,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,1,8
SIVMURUGAA RESTAURANT,Kulcha,,52,,,,,0,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,1
SIVMURUGAA RESTAURANT,Paratha ,,35,,,,,0,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,2
SIVMURUGAA RESTAURANT,Butter Naan,,52,,,,,0,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,6
SIVMURUGAA RESTAURANT,Romali Roti,,46,,,,,0,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,10
SIVMURUGAA RESTAURANT,Panner butter Masala,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,6,10
SIVMURUGAA RESTAURANT,Mushroom Masala,,138,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,6,13
