restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
S.M BHAI BIRIYANI,Mutton Biriyani,,210,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
S.M BHAI BIRIYANI,Chicken Biriyani,,110,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,2
S.M BHAI BIRIYANI,Chicken Plain Biriyani,,90,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
S.M BHAI BIRIYANI,Egg Biriyani,,100,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,3
S.M BHAI BIRIYANI,Veg Meals,,80,,,,0,0,Non Veg,11:30AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,3,1
S.M BHAI BIRIYANI,NonVeg Meals With Fish,,110,,,,0,0,Non Veg,11:30AM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,3,1
S.M BHAI BIRIYANI,Veg Fried  Rice,,70,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,3,1
S.M BHAI BIRIYANI,Egg Fried Rice,,80,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,3,1
S.M BHAI BIRIYANI,Chicken Fried Rice,,90,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,3,1
S.M BHAI BIRIYANI,Veg Noodles,,70,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,3,1
S.M BHAI BIRIYANI,Egg Noodles,,80,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,3,1
S.M BHAI BIRIYANI,Chicken Noodles,,90,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,3,1
S.M BHAI BIRIYANI,Nandu Gravy,,160,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,,3,1
S.M BHAI BIRIYANI,Mutton Gravy,,160,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,,3,1
S.M BHAI BIRIYANI,Chicken Gravy,,110,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,,3,1
S.M BHAI BIRIYANI,Prawn Gravy,,160,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,,3,1
S.M BHAI BIRIYANI,Kaadai Gravy,,110,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,,3,1
S.M BHAI BIRIYANI,Mutton Sukka,,150,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Chicken Manjuriyan,,110,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Pepper Chicken,,130,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Chicken Chukka,,110,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Chicken 65,,70,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Chicken Lollipop (3Nos),,110,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Chicken Leg Pcs,,80,,,,0,0,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
S.M BHAI BIRIYANI,Idly With Meen Kulambu (2 Nos),,30,,,,0,0,Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Pongal,,50,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Poori & Masal (1 Set),,50,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Roast,,50,,,,0,0,Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Onion Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Rava Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Egg Roast,,70,,,,0,0,Non Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Masal Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Ghee Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,05:00PM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Parotta (2 Nos),,30,,,,0,0,Veg,,,08:00AM,10:00AM,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Kothu Parotta,,70,,,,0,0,Non Veg,,,08:00AM,10:00AM,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Veechu Parotta,,30,,,,0,0,Veg,,,08:00AM,10:00AM,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Egg Veechu Parotta,,50,,,,0,0,Non Veg,,,08:00AM,10:00AM,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Chappathi (1 Set),,50,,,,0,0,Veg,,,08:00AM,10:00AM,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
S.M BHAI BIRIYANI,Chilly Parotta,,90,,,,0,0,Veg,,,08:00AM,10:00AM,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
