restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
S.P ORGANIC PRODUCTS,Kambu Noodles With Masala Pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,1,,1,1
S.P ORGANIC PRODUCTS,Kuthiraivaali Noodles With Masala pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,1,,1,1
S.P ORGANIC PRODUCTS,Raagi Noodles With Masala Pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,1
S.P ORGANIC PRODUCTS,Red Rice Noodles With Masala,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,1
S.P ORGANIC PRODUCTS,Thinai Noodles With Masala pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,1
S.P ORGANIC PRODUCTS,Varugu Noodles With Masala pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,1,1
S.P ORGANIC PRODUCTS,Moringa Nooldes With Masala pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,1
S.P ORGANIC PRODUCTS,Wheat Noodles With Masala pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,1,,2,1
S.P ORGANIC PRODUCTS,Saamai Noodles With Masala pkt,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,1
S.P ORGANIC PRODUCTS,Multimillet  Noodles With Masala,,59,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,1
S.P ORGANIC PRODUCTS,Kambu Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Kuthiraivaali Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Raahi Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Red Rice Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Thinai Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Varagu Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Moringa Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Wheat Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Saamai Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Multimillet Sevai,,49,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,D 65 Ultra (Liqued Detercent) 1Litr,,165,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
S.P ORGANIC PRODUCTS,Stain- ox HD (Dish Wash Liquid)1/2Lit,,85,,,,0,Veg,08:00AM,08:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sevai,,0,,2,1
