restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
SPARSA RESORT,Vegetable Clear Soup,,94.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Vegetable Clear Noodle Soup,,99.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Cream Of Tomato Soup,,105,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Cream Of Vegetable Soup,,105,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Cream Of Tomato Mushroom Soup,,105,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Cream Of Tomato Peas Soup,,105,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Sweet Corn Vegetable Soup,,115.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Chettinadu Vegetable Soup,,115.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Carrot And Coriander Soup,,115.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Hot And Sour Vegetable Soup,,115.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Tomato Soup,,115.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Dhal Shorba Soup,,115.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Minestrone Soup,,126,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Murungai Soup,,126,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Sparsa Herbal Soup,,126,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
SPARSA RESORT,Mixed Vegetable Poriyal,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Aloo Gobi Poriyal,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Carrot Beans Poriyal,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Egg Plant Poriyal,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Potato Podimas,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Banana Podimas,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Bhindhi Poriyal,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Cabbage Peas Poriyal,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Mooru Kuzhambu,,141.75,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Ennai Kathrikkai Masala,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Vegetable Jaipuri,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Bhindhi Do Piyaz,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Paruppu Urandai Kara Kuzhambu,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Murungaikai Kathirikkai Pirattal,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Sundakai Vatha Kuzhambu,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Dhal Tadka,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Dhal Makhni,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Yam Chops,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Vegetable Moilee,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Avial,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Channa Masala,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Kadai Vegetable,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Mixed Vegetable Curry,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Aloo Mutter,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Vendaikai Kara Kuzhambu,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Gobi Masala,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Bhindhi Masala,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Cauliflower Milagu Pirattal,,173.25,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Mixed Vegetables In  Hot Garlic Sauce,,173.25,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Sweet And Sour Vegetable,,173.25,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Navarathna Khurma,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Malai Koftha,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Mushroom Chettinadu,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Tender Coconut And Cashew Curry,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Mushroom Manchurian,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Shanghai Mushroom,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Dingre Mutter,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Paneer Kai Khurma,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Paneer Tikka Masala,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Paneer Makhni,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vegeterian Delicacies,,0,
SPARSA RESORT,Gatta  Ki Subzi,,173.25,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Subzi Diwani Hundi,,173.25,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Subzi Dahiwala,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Methi Malai,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Paneer Pasanda,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Paneer Shai Khurma,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Paneer Badhami,,189,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Jain,,0,
SPARSA RESORT,Steamed Rice,,94.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Full Fillers,,0,
SPARSA RESORT,Sambar Sadam,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Full Fillers,,0,
SPARSA RESORT,Thayiru Sadam,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Full Fillers,,0,
SPARSA RESORT,Choice Of Variety Rice,,157.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Full Fillers,,0,
SPARSA RESORT,Mixed Vegetable Hakka Noodles,,178.5,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Full Fillers,,0,
