restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI KAMAKSHI CAFE,Idly 4 Pcs,,42,,,,0,Veg,,,08:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,1
SRI KAMAKSHI CAFE,Poori 2 Pcs,,47,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,2
SRI KAMAKSHI CAFE,Idiyappam 2 Pcs,,35,,,,0,Veg,,,08:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,3
SRI KAMAKSHI CAFE,Pongal,,47,,,,0,Veg,,,08:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,4
SRI KAMAKSHI CAFE,Chappathi 2 Pcs,,35,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,5
SRI KAMAKSHI CAFE,Vadai 2 Pcs,,14,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,6
SRI KAMAKSHI CAFE,Parotta 2 Pcs,,35,,,,0,Veg,12:00PM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,7
SRI KAMAKSHI CAFE,Kothu Parotta,,70,,,,0,Veg,12:00PM,9:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,8
SRI KAMAKSHI CAFE,Egg Dosa,,35,,,,0,Non Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,,2,1
SRI KAMAKSHI CAFE,Ghee Roast,,58,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,,2,2
SRI KAMAKSHI CAFE,Kal Dosa 2 Pcs,,46,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,,2,3
SRI KAMAKSHI CAFE,Masal Roast,,58,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,,2,4
SRI KAMAKSHI CAFE,Onion Roast,,58,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,,2,5
SRI KAMAKSHI CAFE,Onion Masal Roast,,70,,,,0,Veg,,,08:00AM,10:30AM,,,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,,2,6
