restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI SAKTHI MESS,Kal Dosai,,40,,,,5,Veg,,,07:30AM,10:30AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,1
SRI SAKTHI MESS,Wheat Dosai,,45,,,,5,Veg,,,07:30AM,10:30AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,2
SRI SAKTHI MESS,Egg Kal Dosai,,50,,,,5,Non Veg,,,07:30AM,10:30AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,5
SRI SAKTHI MESS,Egg Bun Dosai,,60,,,,5,Non Veg,,,07:30AM,10:30AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,6
SRI SAKTHI MESS,Nattukozhi Chicken Kari Dosai,,160,,,,5,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,6
SRI SAKTHI MESS,Roast,,60,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,1
SRI SAKTHI MESS,Onion Roast,,75,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,2
SRI SAKTHI MESS,Ghee Roast,,75,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,3
SRI SAKTHI MESS,Podi Roast,,75,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,5
SRI SAKTHI MESS,Rava Roast,,75,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,6
SRI SAKTHI MESS,Egg Roast,,75,,,,5,Non Veg,,, ,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,7
SRI SAKTHI MESS,Garlic Masala Roast,,75,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,3
SRI SAKTHI MESS,Small Onion Roast,,85,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,10
SRI SAKTHI MESS,Gobi Masala Roast,,199,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,3,11
SRI SAKTHI MESS,Omlette Roast,,85,,,,5,Non Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,6
SRI SAKTHI MESS,Small Onion Egg Roast,,90,,,,5,Non Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,2,6
SRI SAKTHI MESS,Uthappam,,50,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,1
SRI SAKTHI MESS,Onion Uthappam,,60,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,2
SRI SAKTHI MESS,Garlic Uthappam,,60,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,3
SRI SAKTHI MESS,Tomato Onion  Uthappam,,70,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,4
SRI SAKTHI MESS,Ghee Podi Rava Uthappam,,90,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,5
SRI SAKTHI MESS,Podi Uthappam,,60,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,6
SRI SAKTHI MESS,Small Onion Uthappam,,75,,,,5,Veg,,,07:30AM,10:00AM,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,4,7
