restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI SAKTHI MESS,Kal Dosai,,30,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai,,0,,2,1
SRI SAKTHI MESS,Wheat Dosai,,30,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai,,0,,2,2
SRI SAKTHI MESS,Garlic Masala Dosai,,50,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai,,0,,2,3
SRI SAKTHI MESS,Masala Dosai,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai,,0,,2,4
SRI SAKTHI MESS,Mutton Curry Dosai,,120,,,,5,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai,,0,,2,5
SRI SAKTHI MESS,Nattukozhi Chicken Curry Dosai,,120,,,,5,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai,,0,,2,6
SRI SAKTHI MESS,Roast,,50,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,1
SRI SAKTHI MESS,Onion Roast,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,2
SRI SAKTHI MESS,Ghee Roast,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,3
SRI SAKTHI MESS,Tomato Roast,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,4
SRI SAKTHI MESS,Podi Roast,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,5
SRI SAKTHI MESS,Rava Roast,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,6
SRI SAKTHI MESS,Onion Rava Roast,,70,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,7
SRI SAKTHI MESS,Ghee Rava Roast,,70,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,8
SRI SAKTHI MESS,Paper Rosat,,80,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,9
SRI SAKTHI MESS,Small Onion Roast,,70,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,10
SRI SAKTHI MESS,Masala Roast,,60,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Roast's,,0,,3,11
