restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI SIVAMURUGA RESTAURANT ,Roast,,60,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,1
SRI SIVAMURUGA RESTAURANT ,Ghee Roast,,78,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,2
SRI SIVAMURUGA RESTAURANT ,Masal Roast,,78,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,3
SRI SIVAMURUGA RESTAURANT ,Butter Roast,,78,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,4
SRI SIVAMURUGA RESTAURANT ,Onion Roast,,78,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,5
SRI SIVAMURUGA RESTAURANT ,Ghee Masal Roast,,82,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,6
SRI SIVAMURUGA RESTAURANT ,Ghee Onion Roast,,82,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,7
SRI SIVAMURUGA RESTAURANT ,Uthappam,,54,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,8
SRI SIVAMURUGA RESTAURANT ,Onion Uthappam,,72,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,9
SRI SIVAMURUGA RESTAURANT ,Tomato Uthappam,,72,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,10
SRI SIVAMURUGA RESTAURANT ,Veg Uthappam,,74,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,11
SRI SIVAMURUGA RESTAURANT ,Ghee Uthappam,,76,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,12
SRI SIVAMURUGA RESTAURANT ,Pepper Roast,,105,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,13
SRI SIVAMURUGA RESTAURANT ,Rava Roast,,70,,,,0,0,Veg,,,,,,,03:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,1
