restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SREE KITCHEN,Veg Clear Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
SREE KITCHEN,Hot & Sour Veg Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
SREE KITCHEN,Sweet Corn Veg Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
SREE KITCHEN,Tomatto Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
SREE KITCHEN,Noodle Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
SREE KITCHEN,Crème Of Mushroom Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
SREE KITCHEN,Baby Corn Mushroom Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
SREE KITCHEN,Spicy Mushroom Soup,,73.5,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
SREE KITCHEN,Veg Chettinad Soup,,102.9,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
SREE KITCHEN,Manchew Soup,,117.6,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
SREE KITCHEN,Mutton Bone Soup,,147,,,,8,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
SREE KITCHEN,Chicken Pepper Soup,,102.9,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,12
SREE KITCHEN,Chicken Clear Soup,,102.9,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,13
SREE KITCHEN,Hot & Sour Soup Chicken,,117.6,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,14
SREE KITCHEN,Hot & Sour Soup Mutton,,117.6,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,15
SREE KITCHEN,Hot & Sour Soup Prawn,,117.6,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,16
SREE KITCHEN,Sweet Corn Soup Chicken,,117.6,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,17
SREE KITCHEN,Sweet Corn Soup Mutton,,117.6,,,,8,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,18
