restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SUPRABAATHAM COFFEE POINT,Ice Tea,,20,,,,0,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverage,,0,,5,1
SUPRABAATHAM COFFEE POINT,Ice Coffee,,30,,,,0,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverage,,0,,5,2
SUPRABAATHAM COFFEE POINT,Ice Horlicks,,50,,,,0,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverage,,0,,5,3
SUPRABAATHAM COFFEE POINT,Ice Bournvita,,50,,,,0,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Cold Beverage,,0,,5,4
SUPRABAATHAM COFFEE POINT,Salt Biscuit (4 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,1
SUPRABAATHAM COFFEE POINT,Rusk (4 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,2
SUPRABAATHAM COFFEE POINT,Bun (4 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,3
SUPRABAATHAM COFFEE POINT,Tea Cake (4 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,4
SUPRABAATHAM COFFEE POINT,Samosa (2 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,5
SUPRABAATHAM COFFEE POINT,Vada (2 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,6
SUPRABAATHAM COFFEE POINT,Baji (2 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,7
SUPRABAATHAM COFFEE POINT,Idiyappam (2 Nos),,20,,,,10,,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,4,8
