restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Sandwich Square,Veg Sandwich,,20,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,veg-sandwiches.jpg,Veg Sandwiches,,1,
Sandwich Square,Veg Grilled Sandwich,,55,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Paneer Grilled Sandwich,,65,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Mushroom Grilled Sandwich,,65,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Vadakari Grilled Sandwich,,55,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Corn Grilled Sandwich,,55,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Chilli Grilled Sandwich,,65,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Potato Masala Grilled Sandwich,,55,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Pizza Grilled Sandwich,,65,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Garlic Grilled Sandwich,,45,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Bhujia Grilled Sandwich,,45,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Lays Grilled Sandwich,,45,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Muruku Sandwich,,65,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
Sandwich Square,Kakhara Sandwich,,75,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Sandwiches,,0,
