restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SAVOURY SEA SHELL,Veg Clear Soup,,115.5,,,,5.5,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,1
SAVOURY SEA SHELL,Veg Hot & Sour Soup,,115.5,,,,5.5,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,2
SAVOURY SEA SHELL,Veg Tom Yum Soup,,126,,,,6,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,3
SAVOURY SEA SHELL,Veg Manchow Soup,,115.5,,,,5.5,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,4
SAVOURY SEA SHELL,Sweet Corn Veg Soup,,115.5,,,,5.5,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,5
SAVOURY SEA SHELL,Cream Of Tomato Soup,,115.5,,,,5.5,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,6
SAVOURY SEA SHELL,Mushroom Baby Corn Soup,,126,,,,6,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,7
SAVOURY SEA SHELL,Tomato Macaroni Soup,,126,,,,6,Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,8
SAVOURY SEA SHELL,Plain Sea Food Soup,,157.5,,,,7.5,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,9
SAVOURY SEA SHELL,Hot & Sour Sea Food Soup,,178.5,,,,8.5,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,10
SAVOURY SEA SHELL,Chicken Hot & Sour Soup,,126,,,,6,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,11
SAVOURY SEA SHELL,Chicken Clear Soup,,126,,,,6,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,12
SAVOURY SEA SHELL,Chicken Manchow Soup,,147,,,,7,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,13
SAVOURY SEA SHELL,Sweet Corn Chicken Soup,,147,,,,7,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,14
SAVOURY SEA SHELL,Chicken Tom Yum Soup,,157.5,,,,7.5,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,15
SAVOURY SEA SHELL,Spicy Chicken Corn Soup,,147,,,,7,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,16
SAVOURY SEA SHELL,Mint Chicken Soup,,147,,,,7,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,17
SAVOURY SEA SHELL,Chicken Lung Fung Soup,,157.5,,,,7.5,Non Veg,,,,,11:30AM,10:00PM,,,"1,2,3,4,5,6,7",1,,Soups,,0,,2,18
