restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI SHANMUGA MESS,Chicken Chukka,,129,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,1
SRI SHANMUGA MESS,Chicken Chukka Fry,,140,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,2
SRI SHANMUGA MESS,Chicken Chukka Fry with Egg,,164,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,3
SRI SHANMUGA MESS,Chicken Pepper Fry,,152,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,4
SRI SHANMUGA MESS,Kaadai,,176,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,5
SRI SHANMUGA MESS,Mutton Chukka Fry with Egg ,,210,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,1
SRI SHANMUGA MESS,Mutton Thala Curry Varuval,,187,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,2
SRI SHANMUGA MESS,Brain Fry,,187,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,3
SRI SHANMUGA MESS,Mutton Chukka ,,176,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,4
SRI SHANMUGA MESS,Mutton Chukka Fry,,187,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,5
SRI SHANMUGA MESS,Mutton Pepper Fry,,199,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,6
SRI SHANMUGA MESS,Kudal Gravy,,164,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,7
SRI SHANMUGA MESS,Kudal Fry,,175,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,8
SRI SHANMUGA MESS,Kudal Pepper Fry,,187,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,9
SRI SHANMUGA MESS,Kudal Fry with Egg,,199,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,2,10
SRI SHANMUGA MESS,NattuKozhi Pepper Fry,,187,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,NattuKozhi,,0,,3,1
SRI SHANMUGA MESS,NattuKozhi Fry with Egg,,199,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,NattuKozhi,,0,,3,2
SRI SHANMUGA MESS,NattuKozhi Gravy,,164,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,NattuKozhi,,0,,3,3
SRI SHANMUGA MESS,Fish Vanjaram Big,,187,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,1
SRI SHANMUGA MESS,Fish Vanjaram Small,,176,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,2
SRI SHANMUGA MESS,Parai Fish Fry,,117,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,3
SRI SHANMUGA MESS,Catla Fish,,117,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,4
SRI SHANMUGA MESS,Mirgal Fish Fry,,117,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,5
SRI SHANMUGA MESS,Nethili Fish Fry,,176,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,6
SRI SHANMUGA MESS,Nandu Masala,,176,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Foods,,0,,4,7
SRI SHANMUGA MESS,Chicken Biriyani,,152,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,5,1
SRI SHANMUGA MESS,Mutton Biriyani,Seeraga Samba Rice,280,,,,0,Non Veg,11.30AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,5,2
