restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
STAR BRIYANI,Mutton Briyani,,170,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
STAR BRIYANI,Chicken Briyani,,130,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
STAR BRIYANI,Sunday Basmathi Chicken Briyani,,130,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,7,1,,Briyani,,0,
STAR BRIYANI,Sunday Basmathi Mutton Briyani,,160,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,7,1,,Briyani,,0,
STAR BRIYANI,Sunday Basmathi Kushka,,80,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,7,1,,Briyani,,0,
STAR BRIYANI,Kushka,,70,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
STAR BRIYANI,Mutton Fry,,140,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
STAR BRIYANI,Chicken Fry,,90,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
STAR BRIYANI,Kaadai Fry,,100,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
STAR BRIYANI,Sea Prawn Fry,,140,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
STAR BRIYANI,Dam Fish Fry,,70,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
STAR BRIYANI,Vanjaram Fish Fry,,150,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
STAR BRIYANI,Sea Fish Fry,,130,10,Non Veg,,,,,11:30AM,3:00PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fry,,0,
