restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SUMATHI PALAKARAKADAI & RESTAURANT,Paani Poori ,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,1
SUMATHI PALAKARAKADAI & RESTAURANT,Bhael Poori ,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,2
SUMATHI PALAKARAKADAI & RESTAURANT,Masala Poori ,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,3
SUMATHI PALAKARAKADAI & RESTAURANT,Curd Poori,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,4
SUMATHI PALAKARAKADAI & RESTAURANT,Aalu Poori,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,5
SUMATHI PALAKARAKADAI & RESTAURANT,Channa Masala,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,6
SUMATHI PALAKARAKADAI & RESTAURANT,Bread Channa,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,7
SUMATHI PALAKARAKADAI & RESTAURANT,Curd Samosa,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,8
SUMATHI PALAKARAKADAI & RESTAURANT,Curd Kachodi,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,9
SUMATHI PALAKARAKADAI & RESTAURANT,Raj Kachodi,,50,,,,5,Veg,,,,,,,4:00PM,8:00PM,"1,2,3,4,5,6,7",0,,Chaat,,0,,5,10
