restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Swagath,Veg Manchurian,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Paneer Manuchurain Dry,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Paneer Manchurian Wet,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Paneer 65,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Chilly Paneer Dry,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Paneer 65,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Chilly Paneer Wet,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Gobi 65,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Chilly Gobi Dry,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Gobi 65,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Chilly Gobi Wet,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Crispy Veg,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Apetizers,,0,
Swagath,Paneer Tikka,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Charcoal Oven,,0,
Swagath,Tandoori Chicken Half,,140,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
Swagath,Tandoori Chicken Full,,270,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
Swagath,Tangdi Kabab Half,,80,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
Swagath,Tangdi Kabab Full,,160,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,
Swagath,Chicken Tikka,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Malai Tikka,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Spicy Fried Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Garlic Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chicken Drumstick,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chicken manchuria/Chilly chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chilly Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chicken 65,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chicken Lollipop,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Dragon Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Pepper Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Honey Pepper Chicken,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chicken Majestic,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Crispy Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Chilly Egg/Egg 65,,80,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Egg 65,,80,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,
Swagath,Paneer Tikka Masala,,120,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Cuisine -Veg,,0,
Swagath,Paneer Butter Masala,,120,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Cuisine -Veg,,0,
Swagath,Gobi Masala,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Cuisine -Veg,,0,
Swagath,Butter Chicken,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,butter-chicken.jpeg,Indian Cuisine -Non Veg,,1,
Swagath,Punjabi Chicken,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Cuisine -Non Veg,,0,
Swagath,Chicken Tikka Masala,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,CHICKEN_TIKKA_MASALA.jpeg,Indian Cuisine -Non Veg,,1,
Swagath,Spicy Chicken Curry,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Cuisine -Non Veg,,0,
Swagath,Egg Masala,,80,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,egg_masala.jpeg,Indian Cuisine -Non Veg,,1,
Swagath,Tangdi Masala,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Cuisine -Non Veg,,0,
Swagath,Plain Roti,,15,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,plain_rotti.jpeg,Indian Breads,,1,
Swagath,Butter Roti,,20,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Plain Naan,,20,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Butter Naan,,25,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Pudina Paratta,,25,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Methi Paratta,,25,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Paneer Paratta,,30,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Kulcha,,25,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Masala Kulcha,,30,0,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Indian Breads,,0,
Swagath,Veg,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,VEG_RICE.jpeg,Fried Rice,,1,
Swagath,Garlic,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Gobi,,80,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Schezwan Gobi,,90,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Paneer,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Schezwan Paneer,,110,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Egg ,,80,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Schezwan Egg,,90,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Chicken,,100,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Schezwan Chicken,,110,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,SPL.Chicken,,120,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
Swagath,Chicken Dum,,130,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,CHICKEN_DUM.jpeg,Briyani,,1,
Swagath,Special Chicken,,150,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Swagath,Ulavacharu,,160,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Swagath,Frypiece,,140,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Swagath,Naatukodi,,200,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Swagath,Egg ,,100,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Swagath,Briyani Rice,,80,5,Non Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Swagath,Gobi,,100,5,Veg,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
