restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Red Sauce,,105,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Red Sauce,,115.5,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Chicken Meat Balls Pasta With Tak Red Sauce,,141.75,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Beef Pasta With Tak Red Sauce,,115.5,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Beef Meat Balls Pasta With Tak Red Sauce,,141.75,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Creamy  Sauce,,110.25,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Creamy  Sauce,,126,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Chicken Meat Balls Pasta With Tak Creamy  Sauce,,152.25,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Beef Pasta With Tak Creamy  Sauce,,126,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Beef Meat Balls Pasta With Tak Creamy  Sauce,,152.25,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Premium Sauce,,168,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Premium Sauce,,178.5,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Chicken Meat Balls Pasta With Tak Premium Sauce,,204.75,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Beef Pasta With Tak Premium Sauce,,178.5,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Beef Meat Balls Pasta With Tak Premium Sauce,,204.75,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Cheese Delight,,189,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Cheese Delight,,199.5,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Chicken Meat Balls Pasta With Tak Cheese Delight,,225.75,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
TAK INTERESTING FOOD,Minced Meat Beef Pasta With Tak Cheese Delight,,199.5,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,
