restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Red Sauce,,126,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,1
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Red Sauce,,126,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,2
TAK INTERESTING FOOD,Chicken Meat Balls Pasta With Tak Red Sauce,,152.25,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,3
TAK INTERESTING FOOD,Minced Meat Beef Pasta With Tak Red Sauce,,126,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,4
TAK INTERESTING FOOD,Beef Meat Balls Pasta With Tak Red Sauce,,152.25,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,5
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Creamy  Sauce,,120.75,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,6
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Creamy  Sauce,,136.5,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,7
TAK INTERESTING FOOD,Chicken Meat Balls Pasta With Tak Creamy  Sauce,,162.75,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,8
TAK INTERESTING FOOD,Minced Meat Beef Pasta With Tak Creamy  Sauce,,136.5,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,9
TAK INTERESTING FOOD,Beef Meat Balls Pasta With Tak Creamy  Sauce,,162.75,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,10
TAK INTERESTING FOOD,Mix Vegetables Pasta With Tak Premium Sauce,,178.5,,,,0,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,11
TAK INTERESTING FOOD,Minced Meat Chicken Pasta With Tak Premium Sauce,,189,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,1,12
