restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TAMILAN FISH SHOP,Chicken Chily bone(100grm),,40,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Fry Items,,0,,1,1
TAMILAN FISH SHOP,Chicken Chily boneless(100grm),,50,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Fry Items,,0,,1,2
TAMILAN FISH SHOP,Chicken Eral (100grm),,40,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Fry Items,,0,,1,1
TAMILAN FISH SHOP,Chicken Leg (1pc),,50,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Fry Items,,0,,1,2
TAMILAN FISH SHOP,Kaadai Roast (1pc),,60,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai Fry,,0,,1,3
TAMILAN FISH SHOP,Fish Chilly boneless (100grm),,50,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Neimeen (1pc),,25,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Paarai (1pc),,35,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Katla (1pc),,35,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Nethili (100grm),,65,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Iral (Prawan)(100grm),,80,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Nandu(crab)1 pc,,50,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Vanjaram Fish (1pc),,70,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fish Fry Items,,0,,1,1
TAMILAN FISH SHOP,Nandu Soup,,50,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,1,1
TAMILAN FISH SHOP,Chicken Gravy (1plate),,50,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Gravy,,0,,1,1
TAMILAN FISH SHOP,Idly (3pcs)with Fish Kulambu With Pice,,25,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
TAMILAN FISH SHOP,Chappathi (2pcs) with Chicken Gravy with pice,,30,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
TAMILAN FISH SHOP,Nethili (1kg),,330,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Vanjaram Fish (1kg),,750,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Ooli Fish (1kg),,450,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Iral (Prawan)(1kg),,550,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Sangara Fish (1kg),,330,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Aaila Fish (1kg),,300,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Velaimeen (1kg),,450,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Maja Paarai Fish (1kg),,500,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Vaval Fish (1kg),,500,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Nandu (Crab) 1kg,,3440,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
TAMILAN FISH SHOP,Koduva Fish (1kg),,650,,,,0,0,Non Veg,8:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
