restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TEA TIME,Lime Mint Cooler,,35,30,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Coolers,,0,,1,1
TEA TIME,Water Melon,,45,40,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Coolers,,0,,1,55
TEA TIME,Fizi Mojito,,55,50,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Coolers,,0,,1,55
TEA TIME,Matka Lassi,,45,40,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Coolers,,0,,1,52
TEA TIME,Cold Coffee,,49,45,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Coolers,,0,,1,55
TEA TIME,Chocolate Shake,,49,39,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milk Shakes,,0,,1,3
TEA TIME,Strawberry Shake,,49,39,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milk Shakes,,0,,1,4
TEA TIME,Vanilla Shake,,49,39,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milk Shakes,,0,,1,5
TEA TIME,Oreo Milk Shake,,49,39,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milk Shakes,,0,,1,6
TEA TIME,Mango Milk Shake,,49,39,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milk Shakes,,0,,1,6
TEA TIME,Mulberry Shake,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Pista Shake,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,California Shake,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Italian Shake,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Royal Dates,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Cranberry Shake,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Ban The Banana,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Star Blast Shake,,99,79,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Shakes,,0,,1,6
TEA TIME,Rose Milk,,45,40,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flavoured Milks,,0,,1,6
TEA TIME,Chilled Badam Milk,,45,40,22-04-2021,15-05-2021,0,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flavoured Milks,,0,,1,6
TEA TIME,Dum Tea,700ML for 7 Persons,70,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
TEA TIME,Ginger Tea,700ML for 7 Persons,105,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
TEA TIME,Green Tea,700ML for 7 Persons,175,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
TEA TIME,Immunity Tea,700ML for 7 Persons,140,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
TEA TIME,Masala Tea,700ML for 7 Persons,105,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
TEA TIME,Lemon Tea,700ML for 7 Persons,105,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
TEA TIME,Badam Milk Hot,700ML for 7 Persons,140,,,,30,Veg,09:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tea (7 Persons),,0,,1,6
