restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TEA TIME (M.G Road),Veg Sandwich,,53,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
TEA TIME (M.G Road),Spicy Veg Sandwich,,58,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,2
TEA TIME (M.G Road),Veg Mayo Sandwich,,63,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,3
TEA TIME (M.G Road),Peanut Butter Sandwich,,63,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,4
TEA TIME (M.G Road),Chocolate Sandwich,,63,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,5
TEA TIME (M.G Road),Egg Sandwich,,63,,,,0,Non Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,6
TEA TIME (M.G Road),Veg Cheese Grilled Sandwich,,73,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,7
TEA TIME (M.G Road),Nutrella Sandwich,,73,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,8
TEA TIME (M.G Road),Egg Cheese Sandwich,,73,,,,0,Non Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,9
TEA TIME (M.G Road),Milo Milkshake,,85,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,1
TEA TIME (M.G Road),Nutella Milkshake,,85,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,2
TEA TIME (M.G Road),Kitkat Milkshake,,85,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,3
TEA TIME (M.G Road),Chocolate Shake,,60,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,4
TEA TIME (M.G Road),Strawberry Shake,,60,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,5
TEA TIME (M.G Road),Vanilla Shake,,60,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,6
TEA TIME (M.G Road),Oreo Milkshake,,60,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,7
TEA TIME (M.G Road),Mango Milkshake,,60,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,2,8
TEA TIME (M.G Road),Rose Milk,,54,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flavoured Milks,,0,,4,1
TEA TIME (M.G Road),Chilled Badam Milk,,54,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Flavoured Milks,,0,,4,2
TEA TIME (M.G Road),Mulberry Shake,,104,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Milkshakes,,0,,3,1
TEA TIME (M.G Road),Pista Shake,,104,,,,0,Veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Milkshakes,,0,,3,2
