restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE FALOODA SHOP (Gandhigramam),Arabian Nights,,120,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,1
THE FALOODA SHOP (Gandhigramam),Guns N Roses,,89,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,2
THE FALOODA SHOP (Gandhigramam),Butterscotch Bliss,,110,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,3
THE FALOODA SHOP (Gandhigramam),Dil Kush( Tuti Fruiti),,110,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,4
THE FALOODA SHOP (Gandhigramam),Blackcurrant Beast,,110,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,5
THE FALOODA SHOP (Gandhigramam),Mango Madness,,99,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,6
THE FALOODA SHOP (Gandhigramam),Pista Pacific,,99,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,7
THE FALOODA SHOP (Gandhigramam),Strawberry Swril,,89,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,8
THE FALOODA SHOP (Gandhigramam),Chocolate Man,,110,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,9
THE FALOODA SHOP (Gandhigramam),Fig & Honey,,120,,,,5,Veg,11.00am,10.30pm,,,,,,,"1,2,3,4,5,6,7",1,,Funtastic Faloodas,,0,,1,10
