restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE GRILL THEORY,BBQ 2 Pcs Drumstick + 1 BBQ Chicken Burger + 1 Chicken Shawarma + 1 Green Apple Crunch,,475,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,TGT Special Combo,,0,,1,1
THE GRILL THEORY,1 BBQ Chicken Sandwich + 1 Mexican Shawarma + 1 Schezwan Shawarma + 1 Green Apple Crush,,387,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Shawarma Combo,,0,,1,2
THE GRILL THEORY,4 Pcs Fried Chicken Drumstick + 5 Pcs Fried Wings + 1 Fried Chicken Sandwich + 1 Mixed Berry Shake,,832,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,CTC Family Combo,,0,,1,3
THE GRILL THEORY,2 Pcs Fried Leg + 3 Pcs Fried Lollipop + 1 Nutto Coffee Shake,,561,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Free Fire D Combo,,0,,1,4
THE GRILL THEORY,Biriyani,,100,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
THE GRILL THEORY,Veg Rice,,100,,,,0,veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,1
THE GRILL THEORY,Egg Rice,,112,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,2
THE GRILL THEORY,Chicken Rice,,125,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,3
THE GRILL THEORY,Schezwan Egg Rice,,137,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,4
THE GRILL THEORY,Schezwan Chicken Rice,,150,,,,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,5
THE GRILL THEORY,Veg Noodles,,100,,,,0,veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,6
