restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TN 47 BIRIYANI CENTER,Karaikudi Fried Chicken (100 Grams),,70,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,1
TN 47 BIRIYANI CENTER,Kozhi Thokku,,85,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,3,1
TN 47 BIRIYANI CENTER,Muttai Milagu Pirattal,,50,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,3,1
TN 47 BIRIYANI CENTER,Chicken 65 (100 Grams),,65,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,2
TN 47 BIRIYANI CENTER,Chicken Biriyani,,85,,,,0,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
TN 47 BIRIYANI CENTER,Mutton Biriyani,,150,,,,0,0,Non Veg,12:00PM,03:00PM,,,,,,,7,1,,Biriyani,,0,,1,1
TN 47 BIRIYANI CENTER,Aattukkal Paaya with Idiyappam,,85,,,,0,0,Non Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Idiyappam,,0,,2,1
TN 47 BIRIYANI CENTER,Veg Fried Rice,,55,,,,0,0,Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,2,1
TN 47 BIRIYANI CENTER,Veg Noodles,,55,,,,0,0,Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,2,1
TN 47 BIRIYANI CENTER,Chicken Fried Rice,,85,,,,0,0,Non Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,2,1
TN 47 BIRIYANI CENTER,Chicken Noodles,,85,,,,0,0,Non Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,2,1
TN 47 BIRIYANI CENTER,Egg Fried Rice,,75,,,,0,0,Non Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,1
TN 47 BIRIYANI CENTER,Egg Noodles,,75,,,,0,0,Non Veg,07:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,3,1
