restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TN25 BIRIYANI,Veg Clear Soup,,36.75,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,1
TN25 BIRIYANI,Hot & Sour Veg Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,2
TN25 BIRIYANI,Veg Chettinad Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,3
TN25 BIRIYANI,Veg Manchow Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,4
TN25 BIRIYANI,Tomato Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,5
TN25 BIRIYANI,Mushroom Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,6
TN25 BIRIYANI,Cream Ofmushroom Soup,,52.5,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,7
TN25 BIRIYANI,Sweet Corn Veg Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,8
TN25 BIRIYANI,French Onion Soup,,63,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,9
TN25 BIRIYANI,Spanish Soup,,63,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,10
TN25 BIRIYANI,Milagu Daniya Soup,,42,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,11
TN25 BIRIYANI,Noodles Soup,,52.5,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soups,,0,,1,12
TN25 BIRIYANI,Chicken Clear Soup,,42,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,1
TN25 BIRIYANI,Hot & Sour Chicken Soup,,47.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,2
TN25 BIRIYANI,Chicken Chettinad Soup,,47.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,3
TN25 BIRIYANI,Chicken Manchow Soup,,47.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,4
TN25 BIRIYANI,Sweet Corn Chicken Soup,,47.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,5
TN25 BIRIYANI,Lampoc Soup,,68.25,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,6
TN25 BIRIYANI,Mutton Soup,,52.5,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,7
TN25 BIRIYANI,Crab Soup,,57.75,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,8
TN25 BIRIYANI,Nattu Kozhi Soup,,73.5,,,,10,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup,,0,,2,9
TN25 BIRIYANI,Gobi 65 ,,78.75,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,1
TN25 BIRIYANI,Paneer 65 ,,99.75,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,2
TN25 BIRIYANI,Mushroom 65 ,,94.5,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,3
TN25 BIRIYANI,Baby Corn 65 ,,94.5,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,4
TN25 BIRIYANI,Gobi Manchurian Dry,,115.5,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,5
TN25 BIRIYANI,Paneer Manchurian Dry,,136.5,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,6
TN25 BIRIYANI,Baby Corn Manchurian Dry,,120.75,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,7
TN25 BIRIYANI,Chilly Gobi Chinese Dry,,126,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,3,8
