restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
TOPI PAPPA BIRIYANI ,Chicken Biriyani,,174,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
TOPI PAPPA BIRIYANI ,Mutton Biriyani,,291,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,2
TOPI PAPPA BIRIYANI ,Vankozhi Biriyani,,291,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",0,,Biriyani,,0,,1,3
TOPI PAPPA BIRIYANI ,Idly 2 Pcs,,34,,,,0,Veg,,,,,,,05:00PM,09:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,1
TOPI PAPPA BIRIYANI ,Idiyappam 2 Pcs,,34,,,,0,Veg,,,,,,,05:00PM,09:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,2
TOPI PAPPA BIRIYANI ,Chappathi 1 Pc,,34,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,3
TOPI PAPPA BIRIYANI ,Egg Chappathi 1 Pc,,46,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,4
TOPI PAPPA BIRIYANI ,Dosa ,,46,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,1
TOPI PAPPA BIRIYANI ,Roast,,69,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,2
TOPI PAPPA BIRIYANI ,Masal Dosa,,92,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,3
TOPI PAPPA BIRIYANI ,Malli Dosa,,81,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,4
TOPI PAPPA BIRIYANI ,Butter Dosa,,81,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,5
TOPI PAPPA BIRIYANI ,Peerkangai Dosa,,81,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,6
TOPI PAPPA BIRIYANI ,Poondu Dosa,,81,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,7
TOPI PAPPA BIRIYANI ,Egg Dosa,,81,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,8
TOPI PAPPA BIRIYANI ,Egg Roast,,92,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Items,,0,,3,9
