restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL SAAI BHAVAN,Chapatthi,,40,,,,5,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,1
HOTEL SAAI BHAVAN,Paratha,,50,,,,5,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,2
HOTEL SAAI BHAVAN,Sambar Sadham,,50,,,,5,Veg,,,,,11:30AM,3:30PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,3
HOTEL SAAI BHAVAN,Curd Rice,,45,,,,5,Veg,,,,,11:30AM,3:30PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,4
HOTEL SAAI BHAVAN,Vegetable Briyani,,90,,,,5,Veg,,,,,11:30AM,3:30PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,5
HOTEL SAAI BHAVAN,Meals,,75,,,,5,Veg,,,,,11:30AM,3:30PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,6
HOTEL SAAI BHAVAN,Special Meals,,105,,,,10,Veg,,,,,11:30AM,3:30PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Lunch ,,0,,2,7
HOTEL SAAI BHAVAN,Cream Of Tomato Soup,,50,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
HOTEL SAAI BHAVAN,Cream Of Mushroom,,55,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
HOTEL SAAI BHAVAN,Sweet Corn Soup,,55,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
HOTEL SAAI BHAVAN,Veg Clear Soup,,50,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
HOTEL SAAI BHAVAN,Mushroom Soup,,55,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
HOTEL SAAI BHAVAN,Kadai Vegetable,,105,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Gravy's,,0,,4,1
HOTEL SAAI BHAVAN,Kadai Paneer,,105,,,,5,Veg,,,,,11:30AM,3:00PM,7:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Gravy's,,0,,4,2
