restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
THE CHINA VALLEY,Veg. Thai Soup,,53,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Tomato Soup,,53,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Veg. Sweet Corn Soup,,53,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Hot & Sour Soup,,58,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Manchow Soup,,58,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Veg. Noodle Soup,,53,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Veg. Lemon Pepper Soup,,53,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Veg. Mushroom Soup,,58,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Veg. Mushroom Babycorn Soup,,63,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Clear Soup,,53,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Hot & Sour Soup,,63,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Sweet Corn Soup,,63,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Spicy Lemon Garlic  Soup,,63,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Lung Fung Soup,,69,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Corlander Soup,,63,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Noodle Soup,,63,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Manchow Soup,,69,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Lemon Pepper Soup,,63,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Thai Soup,,69,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Mushroom Soup,,69,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Chicken Mushroom Babycorn Soup,,69,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Mix Thai Soup,,79,,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups ,,0,
THE CHINA VALLEY,Veg. Steam Momo,,53,,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Momo's (6 pcs),,0,
