restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE ROYAL GRAND,Kozhi Rasam,,185,,,,5,0,Non Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Soup,,0,,1,1
THE ROYAL GRAND,Gobi Manchurian,,250,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,3,1
THE ROYAL GRAND,Gobi 65,,250,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,3,1
THE ROYAL GRAND,Baby Corn 65,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,5,1
THE ROYAL GRAND,Baby Corn Manchurian(Dry),,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,1,2
THE ROYAL GRAND,Chilly BabyCorn(Dry),,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,2,2
THE ROYAL GRAND,BabyCorn Pepper Fry,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,3,2
THE ROYAL GRAND,BabyCorn Pepper & Salt,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,, Veg Starters,,0,,4,2
THE ROYAL GRAND,Veg Biriyani,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,5,2
THE ROYAL GRAND,Veg Fried Rice,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,1,3
THE ROYAL GRAND,Veg Noodles,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,2,3
THE ROYAL GRAND,Plain Rice,,150,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,3,3
THE ROYAL GRAND,Curd Rice,,155,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,4,3
THE ROYAL GRAND,Chappathi(1No),,110,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,5,3
THE ROYAL GRAND,Parotta(1No),,110,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,6,3
THE ROYAL GRAND,Panner Butter Masala,,260,,,,5,0,Veg,,,,,12:00PM,03:30PM,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Main Course,,0,,7,3
