restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
The Vellore Kitchen,Aappam (2 Nos.) + Veg Gravy,,63,3,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
The Vellore Kitchen,Aappam (2 Nos.) + Non Veg Gravy,,63,3,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
The Vellore Kitchen,Aatu Kaal Paya,,178.5,8.5,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Indian Gravy - Mutton ,,1,
The Vellore Kitchen,Achar Tandoori Mushroom,,178.5,8.5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Veg,,0,
The Vellore Kitchen,Aloo Gobi Masala,,168,8,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Gravy - Veg,,0,
The Vellore Kitchen,Aloo Mutter,,168,8,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Gravy - Veg,,0,
The Vellore Kitchen,Baby Corn Manchurian,,147,7,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Veg,,0,
The Vellore Kitchen,Baby Corn Varuval,,126,6,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Veg,,0,
The Vellore Kitchen,Babycorn Pepper Masala,,168,8,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Gravy - Veg,,0,
The Vellore Kitchen,Basandhi,,84,4,Veg,7:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Sweets,,0,
The Vellore Kitchen,BBQ,,241.5,11.5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Platter,,0,
The Vellore Kitchen,Boiled Egg,,21,1,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Egg Varieties ,,0,
The Vellore Kitchen,Box Briyani -Chicken:Sweet / Mutton Briyani / Plain Mutton Gravy/Chicken 65 with bone / Onion Raitha / Oil Brinjal ,,1307.25,62.25,Non Veg,,,,,11:30AM,3:30PM,,,"1,2,3,4,5,6,7",1,,Chicken Briyani Box (5-7 Pax),,0,
The Vellore Kitchen,Box Briyani -Mutton :Sweet / Chicken Briyani / Plain Chicken Gravy/Chicken 65 with bone / Onion Raitha / Oil Brinjal,,1044.75,49.75,Non Veg,,,,,11:30AM,3:30PM,,,"1,2,3,4,5,6,7",1,,Briyani,,0,
The Vellore Kitchen,Brain Fry,,157.5,7.5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Mutton,,0,
The Vellore Kitchen,Bun Parotta (1 No.) + Veg Gravy,,36.75,1.75,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
The Vellore Kitchen,Bun Parotta (1 No.) + Non Veg Gravy,,36.75,1.75,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
The Vellore Kitchen,Butter Kulcha,,52.5,2.5,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads ,,0,
The Vellore Kitchen,Butter Milk ,,42,2,Veg,7:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Flavored Drinks,,0,
The Vellore Kitchen,Butter Naan,,52.5,2.5,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads ,,0,
The Vellore Kitchen,Butter Roti,,52.5,2.5,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads ,,0,
The Vellore Kitchen,Carrot Halwa,,73.5,3.5,Veg,7:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Sweets,,0,
The Vellore Kitchen,Cauliflower 65,,110.25,5.25,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Veg,,0,
The Vellore Kitchen,Cauliflower Manchurian ,,147,7,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters-Veg,,0,
The Vellore Kitchen,Chappathi (2 No.) + Veg Gravy,,52.5,2.5,Veg,,,,,,,4:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Maincourse Veg,,0,
