restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
UNGAL MEENAVAN ( SEA FISH ),Velai Meen (1kg),,130,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,1
UNGAL MEENAVAN ( SEA FISH ),Parai Meen (1kg),,140,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,2
UNGAL MEENAVAN ( SEA FISH ),Thanni Panna (1kg),,200,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,3
UNGAL MEENAVAN ( SEA FISH ),Karu Nagarai (1kg),,280,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,4
UNGAL MEENAVAN ( SEA FISH ),Maja Kili (1kg),,280,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,5
UNGAL MEENAVAN ( SEA FISH ),Velai Meen 1 (1kg),,380,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,6
UNGAL MEENAVAN ( SEA FISH ),Kili Meen (1kg),,380,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,1,7
UNGAL MEENAVAN ( SEA FISH ),Keluththi Meen (1kg),,380,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,8
UNGAL MEENAVAN ( SEA FISH ),Basunthi Meen (1kg),,410,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,9
UNGAL MEENAVAN ( SEA FISH ),Kelangan Meen (1kg),,410,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,10
UNGAL MEENAVAN ( SEA FISH ),Selva Mural (1kg),,430,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,11
UNGAL MEENAVAN ( SEA FISH ),Semm Palai (1kg),,430,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,12
UNGAL MEENAVAN ( SEA FISH ),Kalinga Mural (1kg),,470,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,13
UNGAL MEENAVAN ( SEA FISH ),Parai Meen (1kg),,530,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,14
UNGAL MEENAVAN ( SEA FISH ),Veelai Meen (1kg),,530,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,15
UNGAL MEENAVAN ( SEA FISH ),Thatiyan Seela (1kg),,600,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,16
UNGAL MEENAVAN ( SEA FISH ),Blue Nandu (1kg),,640,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,17
UNGAL MEENAVAN ( SEA FISH ),Line Eeral (1kg),,660,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,18
UNGAL MEENAVAN ( SEA FISH ),Vanjaram (1kg),,830,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,7
UNGAL MEENAVAN ( SEA FISH ),White Vaval (1kg),,900,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,1
UNGAL MEENAVAN ( SEA FISH ),Black Vaval (1kg),,730,,,,0,Non Veg,08:00AM,02:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sea Fish,,0,,4,2
