restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
VANDIKKADAI UNAVAGAM,Idly 4 Pcs,,38,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,1
VANDIKKADAI UNAVAGAM,Paniyaram 7 Pcs,,25,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,2
VANDIKKADAI UNAVAGAM,Sweet Paniyaram,,50,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,3
VANDIKKADAI UNAVAGAM,Chappathi 2 Pcs,,38,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,4
VANDIKKADAI UNAVAGAM,Egg Chappathi ,,32,,,,0,0,Non Veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,5
VANDIKKADAI UNAVAGAM,Parotta 2 Pcs,,38,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,1
VANDIKKADAI UNAVAGAM,Nool Parotta,,32,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,2
VANDIKKADAI UNAVAGAM,Veechu Parotta,,32,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,3
VANDIKKADAI UNAVAGAM,Veg Kothu Parotta,,75,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,4
VANDIKKADAI UNAVAGAM,Atta Parotta,,32,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,5
VANDIKKADAI UNAVAGAM,Egg Parotta,,38,,,,0,0,Non Veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,6
VANDIKKADAI UNAVAGAM,Egg Veechu Parotta,,44,,,,0,0,Non Veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,7
VANDIKKADAI UNAVAGAM,Non Veg Kothu Parotta,,88,,,,0,0,Non Veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Parottas,,0,,2,8
VANDIKKADAI UNAVAGAM,Nice Dosa,,25,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,1
VANDIKKADAI UNAVAGAM,Kal Dosa,,25,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,2
VANDIKKADAI UNAVAGAM,Roast,,50,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,3
VANDIKKADAI UNAVAGAM,Podi Dosa,,38,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,4
VANDIKKADAI UNAVAGAM,Onion Dosa,,50,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,5
VANDIKKADAI UNAVAGAM,Onion Roast,,63,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,6
VANDIKKADAI UNAVAGAM,Ghee Dosa,,50,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,7
VANDIKKADAI UNAVAGAM,Rava Dosa,,63,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,3,8
VANDIKKADAI UNAVAGAM,Peerkankai Dosa,,44,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,1
VANDIKKADAI UNAVAGAM,Malli Dosa,,44,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,2
VANDIKKADAI UNAVAGAM,Tomato Dosa,,44,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,3
VANDIKKADAI UNAVAGAM,Masal Dosa,,44,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,4
VANDIKKADAI UNAVAGAM,Karuveppilai Dosa,,50,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,5
VANDIKKADAI UNAVAGAM,Garlic Dosa,,50,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,6
VANDIKKADAI UNAVAGAM,Paneer Dosa,,63,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,7
VANDIKKADAI UNAVAGAM,Mushroom Dosa,,63,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Special Dosas,,0,,4,8
VANDIKKADAI UNAVAGAM,Onion Uthappam,,63,,,,0,0,veg,,,,,,,6:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,1
