restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
VEETTU SAPADU MESS (NON VEG),Mutton Biriyani,,172,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Biriyani,,0,,1,1
VEETTU SAPADU MESS (NON VEG),Mutton Meals,"Rice,Mutton Gravy,Mutton Kulambu,Chicken Kulambu,Fish Kulambu,Rasam,Butter Milk,Curd,Egg,Raitha,Pickle,salt",345,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Meals,,0,,1,2
VEETTU SAPADU MESS (NON VEG),NattuKozhi Meals,"Rice,NattuKozhi Varuval,Nattukozhi Kulambu,Mutton Kulambu,Chicken Kulambu,Fish Kulambu,Rasam,Butter Milk,Curd,Egg,Raitha,Pickle,salt",345,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Meals,,0,,1,3
VEETTU SAPADU MESS (NON VEG),Chicken Meals,"Rice,Chicken Varuval,NattuKozhi Kulambu,Mutton Kulambu,Chicken Kulambu,Fish Kulambu,Rasam,Butter Milk,Curd,Egg,Raitha,Pickle,salt",287,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Meals,,0,,1,4
VEETTU SAPADU MESS (NON VEG),Fish meals,"Rice,Mutton Gravy,Mutton Kulambu,Chicken Kulambu,Fish Kulambu,Rasam,Butter Milk,Curd,Egg,Raitha,Pickle,salt",253,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Meals,,0,,1,6
VEETTU SAPADU MESS (NON VEG),Mutton Gravy,,184,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Non Veg Gravy,,0,,1,7
VEETTU SAPADU MESS (NON VEG),Mutton Gravy 1/2,,104,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Non Veg Gravy,,0,,1,7
VEETTU SAPADU MESS (NON VEG),Chicken Gravy,,138,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Non Veg Gravy,,0,,2,1
VEETTU SAPADU MESS (NON VEG),Chicken Gravy 1/2,,81,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Non Veg Gravy,,0,,2,2
VEETTU SAPADU MESS (NON VEG),Nattukozhi Vauval,,184,,,,15,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6",1,,Non Veg Gravy,,0,,2,3
