restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
VEETTU SAPADU MESS,Idly 2 Pcs,,25,,,,3,veg,,,8:00AM,9:30AM,,,,,"1,2,3,4,5,6,7",1,,Idly,,0,,1,1
VEETTU SAPADU MESS,Idly Fry,,80,,,,3,veg,,,,,,,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly,,0,,1,2
VEETTU SAPADU MESS,Podi Idly,,80,,,,3,veg,,,,,,,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idly,,0,,1,3
VEETTU SAPADU MESS,Idiyappam,,60,,,,3,veg,,,,,,,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idiyappam,,0,,2,1
VEETTU SAPADU MESS,Idiyappam Fry,,80,,,,3,veg,,,,,,,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idiyappam,,0,,2,2
VEETTU SAPADU MESS,Idiyappam Egg Fry,,90,,,,3,Non Veg,,,,,,,7:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idiyappam,,0,,2,3
VEETTU SAPADU MESS,Idiyappam with Coconut Milk,,60,,,,5,veg,,,8:00AM,9:30AM,,,,,"1,2,3,4,5,6,7",1,,Idiyappam,,0,,2,4
VEETTU SAPADU MESS,Poori 2 Pcs,,60,,,,5,veg,,,8:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,1
VEETTU SAPADU MESS,Wheat Upuma,,60,,,,5,veg,,,8:00AM,10:30AM,,,,,3,1,,Tiffin Items,,0,,3,2
VEETTU SAPADU MESS,Rava Kichadi,,60,,,,5,veg,,,8:00AM,10:30AM,,,,,"1,4",1,,Tiffin Items,,0,,3,3
VEETTU SAPADU MESS,Venpongal,,60,,,,5,veg,,,8:00AM,10:30AM,,,,,"2,5",1,,Tiffin Items,,0,,3,4
VEETTU SAPADU MESS,Semiya Kichadi,,60,,,,5,veg,,,8:00AM,10:30AM,,,,,6,1,,Tiffin Items,,0,,3,5
VEETTU SAPADU MESS,Parotta 2 Pcs with Veg Kuruma,,35,,,,5,veg,8:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,1
