restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
VELLORE MESS,Meals Regular,"Rice, Sambar, Kara Kozhambu, Koottu, Poriyal, Appalam, Rasam, Butter Milk, Sweet",66,,,,10,0,Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,1
VELLORE MESS,Veg Thali Meals,"Chapathi, Rice, Sambar, Kara Kuzhambu, Koottu, Poriyal, Appalam, Rasam, Butter Milk, Sweet",78,,,,10,0,Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,2
VELLORE MESS,Chicken Curry Meals,"2 Chicken With Gravy, Rice, Sambar, Koottu, Poriyal, Appalam, Rasam, Butter Milk, Sweet",84,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,3
VELLORE MESS,Fish Curry Meals,"1 Fish With Gravy, Rice, Sambar, Koottu, Poriyal, Appalam, Rasam, Butter Milk, Sweet",84,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,4
VELLORE MESS,Non Veg - Combo Melas,"Chicken Gravy, Fish Gravy, Rice, Sambar, Koottu, Poriyal, Appalam, Rasam, Butter Milk, Sweet",96,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,5
VELLORE MESS,Non Veg - Thali Meals,"Chapathi, Chicken Gravy, Fish Gravy, Rice, Sambar, Koottu, Poriyal, Appalam, Rasam, Butter Milk, Sweet",108,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,6
VELLORE MESS,Curd Rice,,42,,,,10,0,Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,7
VELLORE MESS,Chapathi (2 Nos),,36,,,,10,0,Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,8
VELLORE MESS,Chicken Fry,,96,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,9
VELLORE MESS,Chicken 65 (Pakoda),,72,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,10
VELLORE MESS,Chicken Chettinadu (Gravy),,96,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,11
VELLORE MESS,Chicken Butter Masala (Gravy),,96,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,12
VELLORE MESS,Chicken Pepper Masala (Gravy),,96,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,13
VELLORE MESS,Fish Curry (Gravy),,60,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,14
VELLORE MESS,Fish Tawa Fry (Parnplet),,48,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,15
VELLORE MESS,Fish Tawa Fry (Vanjaram),,144,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,16
VELLORE MESS,Egg Masala,,48,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,17
VELLORE MESS,Egg Burji,,48,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,18
VELLORE MESS,Egg Omlet,,24,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,19
VELLORE MESS,Egg - Half Boil,,18,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,20
VELLORE MESS,Egg - Full Boil,,18,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,21
VELLORE MESS,Chicken Briyani,,96,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,22
VELLORE MESS,Plain Briyani,,60,,,,10,0,Non Veg,,,,,12:00PM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch Items,,0,,1,23
VELLORE MESS,Idly (3 Nos),,18,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,1
VELLORE MESS,Plain Dosa,,30,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,2
VELLORE MESS,Kal Dosa,,30,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,3
VELLORE MESS,Onion Dosa,,48,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,4
VELLORE MESS,Masala Dosa,,48,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,5
VELLORE MESS,Podi Dosa,,48,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,6
VELLORE MESS,Onion Uthappam,,54,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,7
VELLORE MESS,Podi Onion Uthappam,,54,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,8
VELLORE MESS,Egg Dosa,,48,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dinner Items,,0,,2,9
VELLORE MESS,Dhal Fry,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,1
VELLORE MESS,Mixed Veg Curry,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,2
VELLORE MESS,Paneer Butter Masala,,72,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,3
VELLORE MESS,Aalu Gobi Masala,,72,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,4
VELLORE MESS,Chicken Chittinadu,,96,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,5
VELLORE MESS,Chicken Pepper Masala,,96,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,6
VELLORE MESS,Kadai Chicken,,96,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,7
VELLORE MESS,Chilli Chicken Masala,,96,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,8
VELLORE MESS,Egg Masala,,48,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,9
VELLORE MESS,Fish Curry,,60,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,10
VELLORE MESS,Chicken Curry,,60,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Gravys,,0,,4,11
VELLORE MESS,Chicken 65 (Pakoda),,72,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,1
VELLORE MESS,Chicken Manchurian,,72,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,2
VELLORE MESS,Chilli Chicken Dry,,72,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,3
VELLORE MESS,Chicken Chukka,,72,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,4
VELLORE MESS,Gobi 65,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,5
VELLORE MESS,Onion Pakoda,,48,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,6
VELLORE MESS,Paneer 65,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,7
VELLORE MESS,Chilli Paneer,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,3,8
VELLORE MESS,Veg Fried Rice,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,1
VELLORE MESS,Schezwan Veg Fried Rice,,72,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,2
VELLORE MESS,Egg Fried Rice,,72,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,3
VELLORE MESS,Schezwan Egg Fried Rice,,84,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,4
VELLORE MESS,Chicken Fried Rice,,84,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,5
VELLORE MESS,Schezwan Chicken Fried Rice,,96,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,6
VELLORE MESS,Veg Noodles,,60,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,6,1
VELLORE MESS,Schezwan Veg Noodles,,72,,,,10,0,Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,6,2
VELLORE MESS,Egg Noodles,,72,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,6,3
VELLORE MESS,Schezwan Egg Noodles,,84,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,6,4
VELLORE MESS,Chicken Noodles,,84,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,6,5
VELLORE MESS,Schezwan Chicken Noodles,,96,,,,10,0,Non Veg,,,,,,,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Noodles,,0,,6,6
VELLORE MESS,Pepsi (250 Ml),,20,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,1
VELLORE MESS,7 Up (250 Ml),,20,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,2
VELLORE MESS,Mountain Dew (250 Ml),,20,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,3
VELLORE MESS,Tropicana (250 Ml),,22,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,4
VELLORE MESS,Pepsi (500 Ml),,40,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,5
VELLORE MESS,7 Up (500 Ml),,40,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,6
VELLORE MESS,Mountain Dew (500 Ml),,40,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,7
VELLORE MESS,Mirinda (500 Ml),,40,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,8
VELLORE MESS,Slice (500 Ml),,40,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,9
VELLORE MESS,Water Bottle (1 Ltr),,20,,,,0,0,Veg,,,,,12:00PM,03:30PM,07:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Beverages,,0,,7,10
