restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
VMK MESS,Nattukozhi Soup,,85,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
VMK MESS,Kozhi Rasam,,75,,,,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
VMK MESS,Plain Roast,,50,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,1,3
VMK MESS,Egg Roast,,80,,,,0,Non Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,1,4
VMK MESS,Onion Roast,,60,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,1,5
VMK MESS,Ghee Roast,,60,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,1,6
VMK MESS,Butter Roast,,60,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,1,7
VMK MESS,Tomato Roast,,60,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,4,8
VMK MESS,Rava Roast,,60,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,4,9
VMK MESS,Podi Roast,,60,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast Items,,0,,4,10
VMK MESS,Chappathi (2pcs),,50,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,11
VMK MESS,Wheat parota(1pcs),,40,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,12
VMK MESS,Plain Dosai,,25,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,13
VMK MESS,Egg Dosai,,35,,,,0,Non Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,14
VMK MESS,Onion Dosai,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,15
VMK MESS,Ghee Dosai,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,16
VMK MESS,Butter Dosai,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,17
VMK MESS,Tomato Dosai,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,18
VMK MESS,Rava Dosai,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,7
VMK MESS,Podi Dosai,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosai Items,,0,,4,1
VMK MESS,Chicken Biriyani With Egg,"Veg Salad,Raita,Gravy",125,,,,0,Non Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,1,,4,2
VMK MESS,Mutton Biriyani,"Veg Salad,Raita,Gravy",180,,,,0,Non Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,1,,4,3
VMK MESS,Egg Biriyani,"Raita,Gravy",100,,,,0,Non Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,4,3
VMK MESS,Spl Curd Rice,,60,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,4,4
VMK MESS,Veg Meals,"Rice,Sambar,Rasam,VathaKulambu,Poriyal,Koutu,Butter Milk,Payasam,Appalam,Pickle",100,,,,0,Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,4,5
VMK MESS,Non Veg Meals,"Rice,Chicken Kulambu,Mutton Kulambu,Fish Kulambu,Rasam,Butter Milk,Kootu,Half Egg",125,,,,0,Non Veg,12:00PM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,4,6
VMK MESS,Curd,,25,,,,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,4,7
VMK MESS,Parotta (1pc),,15,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,8
VMK MESS,Veechu Parotta,,25,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,9
VMK MESS,Egg Veechu Parotta,,35,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,1
VMK MESS,Bun Veechu Parotta,,30,,,,0,Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,2
VMK MESS,Egg Lapa,,50,,,,0,Non Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,3
VMK MESS,Chicken Lapa,,100,,,,0,Non Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,4
