restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Hotel Vasantham,Idly (2 Piece),,20,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Medhu Vadai (2 Piece),,24,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Pongal,,30,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Poori,,30,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Dosa,,30,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Rava Dosa,,35,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Masal Dosa,,40,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Rava Masal Dosa,,50,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Spl Rava,,50,3,Veg,,,7:00AM,11:0AM,,,4:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breakfast & Dinner,,0,
Hotel Vasantham,Onion Dosa,,45,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Onion Uthappam,,45,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Kal Dosa,,45,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Podi Dosa,,50,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Podi Uthappam,,50,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Onion Podi Uthappam,,60,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Onion Podi Dosa,,60,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,2 Taste Uthappam,,50,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Ghee Roast,,50,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Paper Roast,,60,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Ghee Roast Masal,,60,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Paper Roast Masal,,65,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Sambar Vadai,,20,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Sambar Idly,,30,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Onion Rava,,50,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Tomatto Uthappam,,45,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Corn Uthappam,,55,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Small Onion Uthappam,,50,3,Veg,,,7:00AM,11:0AM,,,,,"1,2,3,4,5,6,7",1,,Breakfast,,0,
Hotel Vasantham,Sambar Rice,,40,5,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Tomato Rice,,35,5,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Curd Rice,,30,5,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Lemon Rice,,30,5,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Veg Rice,,40,5,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Meals,,55,5,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Chappathi (2 Piece),,30,3,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,
Hotel Vasantham,Parotta (2 Piece),,30,3,Veg,,,,,11:30AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,1,
Hotel Vasantham,Bonda (2 Piece),,20,3,Veg,,,,,,,4:00PM,6:00PM,"1,2,3,4,5,6,7",1,,Evening Snacks,,0,
Hotel Vasantham,Bajji (2 Piece),,20,3,Veg,,,,,,,4:00PM,6:00PM,"1,2,3,4,5,6,7",1,,Evening Snacks,,0,
Hotel Vasantham,Set Dosa,,45,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,
Hotel Vasantham,Wheat Dosa,,30,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,
Hotel Vasantham,Ragi Dosa,,30,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,
Hotel Vasantham,Kambu Dosa,,30,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,
Hotel Vasantham,Tomatto Dosa,,45,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dosa Varieties,,0,
Hotel Vasantham,Capsicum Masal Dosa,,50,3,Veg,,,,,,,6:00PM,10:30PM,"1,7",1,,Daily Special,,0,
Hotel Vasantham,Gobi Masal Dosa,,60,3,Veg,,,,,,,6:00PM,10:30PM,2,1,,Daily Special,,0,
Hotel Vasantham,Mushroom Masal Dosa,,60,3,Veg,,,,,,,6:00PM,10:30PM,3,1,,Daily Special,,0,
Hotel Vasantham,Kara Masal Dosa,,60,3,Veg,,,,,,,6:00PM,10:30PM,4,1,,Daily Special,,0,
Hotel Vasantham,Garlic Masal Dosa,,60,3,Veg,,,,,,,6:00PM,10:30PM,5,1,,Daily Special,,1,
Hotel Vasantham,Podi Masal Dosa,,60,3,Veg,,,,,,,6:00PM,10:30PM,6,1,,Daily Special,,0,
Hotel Vasantham,Kichadi,,60,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dinner,,0,
Hotel Vasantham,Vadakari,,25,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dinner,,0,
Hotel Vasantham,Chola Poori,,60,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Dinner,,0,
Hotel Vasantham,3 Taste Uthappam,,50,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,5 Taste Uthappam,,60,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,Podi Uthappam,,45,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,Onion Podi Uthappam,,50,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,Tomato Uthappam,,45,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,Onion Uthappam,,45,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,Small Onion Uthappam,,50,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
Hotel Vasantham,Corn Uthappam,,55,3,Veg,,,,,,,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam Varieties,,0,
