restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Vellore Briyani,Sweet Corn Soup,,40,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Veg Pepper Soup,,40,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Hot & Sour veg Soup,,40,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Manchow Soup,,50,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Cream of Tomato Soup,,50,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Boiled Veg Soup,,50,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Chicken Pepper Soup,,50,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Sweet Corn Chicken Soup,,50,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Hot & Sour Chicken Soup,,50,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Manchow Chicken Soup,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Mutton Pepper Soup,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Mutton Manchow Soup,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,Mutton munchow soup.jpg,Soups,,1,
Vellore Briyani,Hot & Sour Mutton Soup,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Prawn,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Fish Pepper Soup,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Sweet corn Prawn,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Fish Soup,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
Vellore Briyani,Onion pokada,,40,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Capsicum pokada,,50,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Sweet Corn pokada,,50,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Gobi 65,,60,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Baby Corn 65,,70,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Mushroom 65,,80,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Paneer 65,,90,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Mushroom pepper fry,,90,21,Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Masala Omlete,,40,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Sun Shine omlete,,40,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Kalaki (Tanjore style),,40,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Egg Podimas,,40,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Chilly Egg,,40,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Egg Pepper Fry,,50,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Chicken Pokada,,50,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Chicken Leg 888,,60,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Chicken 65,,90,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Kaada 65,,90,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Kaada Pepper Fry,,100,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Chicken Lolly Pop,,120,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Leg Pepper Chicken,,120,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Grill Chicken Pepper Fry,,130,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Mutton 65,,140,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Mutton Keema Balls,,140,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
Vellore Briyani,Prawn 65,,140,21,Non Veg,12:01PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
