restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
THE VELLORE KITCHEN,Idli (2 Nos),,37,2,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Idiyappam (2 Nos),,37,2,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Aappam (2 Nos),,63,4,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Bun Parotta (1 No),,37,2,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Plain Dosa,,63,4,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Masala Dosa,,37,2,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Ghee Roast,,74,4,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Ghee Masala Dosa,,84,5,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Kaldosa (2 Nos),,63,4,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Egg Aappam (1 No),,42,3,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Egg Dosa,,95,5,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Mutton Kari Dosa,,168,9,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Chicken Kari Dosa,,137,7,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Kothu Kari Poori,,221,12,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Special Breakfast-Main Course,,0,
THE VELLORE KITCHEN,Chettinad Vegetable Stew,,132,7,Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Aatu Kaal Paya,,179,9,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Madurai Kari Kuzhambu,,231,12,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Mutton Kothu Kari,,263,14,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Naatu Kozhi Milagu Piratal,,231,12,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Kozhi Getti Kari,,195,10,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Viral Meen Kuzhambu,,231,12,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Vanjaram Meen Kuzhambu,,252,13,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Gravy,,0,
THE VELLORE KITCHEN,Boiled Egg,,21,2,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Egg Varieties ,,0,
THE VELLORE KITCHEN,Half Boil,,27,2,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Egg Varieties ,,0,
THE VELLORE KITCHEN,Plain Omelette,,42,3,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Egg Varieties ,,0,
THE VELLORE KITCHEN,Scrambled Egg,,42,3,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Egg Varieties ,,0,
THE VELLORE KITCHEN,Masala Omelette,,53,3,Non Veg,,,6:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Egg Varieties ,,0,
THE VELLORE KITCHEN,Sweet Corn Veg Soup,,90,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Veg Clear Soup,,90,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Veg Chettinad Soup,,90,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Drumstick Soup,,90,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Hot & Sour Veg Soup,,95,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Tom Yum Veg Soup,,111,6,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Veg Wanton Soup ,,111,6,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Chicken Clear Soup,,100,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Sweet Corn Chicken Soup,,100,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
THE VELLORE KITCHEN,Cream Of Spinach Soup,,111,6,Veg,,,,,11:00AM,03:00PM,06:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
