restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
AARAH CAFE,French Fries,,60,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
AARAH CAFE,Masala Fries,,70,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
AARAH CAFE,Smilies,,50,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
AARAH CAFE,Veg Pizza Bites,,60,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
AARAH CAFE,Veg Nuggets,,70,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
AARAH CAFE,Aloo Tikka,,30,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,1
AARAH CAFE,Patato  Veggies,,75,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,1
AARAH CAFE,Chicken Pops,,60,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Chicken Nuggets,,80,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE, Chicken Fingers,,80,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Wings,,80,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
AARAH CAFE,Korean Wigs,,90,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,3,1
AARAH CAFE,Lolly Pop,,120,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,3,1
AARAH CAFE,Asian lolly Pop,,130,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,3,1
AARAH CAFE,Tub Chicken 8 Pcs,,450,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken,,0,,3,1
AARAH CAFE,Tub Chicken 4 Pcs,,230,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken,,0,,3,1
AARAH CAFE,Tub Chicken 2 Pcs,,120,,,,0,0,Non veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken,,0,,3,1
AARAH CAFE,Veg Burger,,65,,,,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Burger,,0,,3,1
