restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ADYAR ANANDA BHAVAN (Pure Veg),Idly 2 Pcs,,39,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
ADYAR ANANDA BHAVAN (Pure Veg),Sambar Idly 2Nos,,55,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
ADYAR ANANDA BHAVAN (Pure Veg),14 Idly,,88,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
ADYAR ANANDA BHAVAN (Pure Veg),Medhu Vadai 1 Pc,,28,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
ADYAR ANANDA BHAVAN (Pure Veg),Curd Vadai,,44,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
ADYAR ANANDA BHAVAN (Pure Veg),Sambar Vadai,,44,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
ADYAR ANANDA BHAVAN (Pure Veg),Rava Kesari,,55,,,,0,Veg,,,07:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
ADYAR ANANDA BHAVAN (Pure Veg),Rava Kichadi,,77,,,,0,Veg,,,07:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,8
ADYAR ANANDA BHAVAN (Pure Veg),Ghee Pongal,,77,,,,0,Veg,,,07:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,9
ADYAR ANANDA BHAVAN (Pure Veg),Poori Masala,,77,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,10
ADYAR ANANDA BHAVAN (Pure Veg),Idiyappam with Kuruma 3 Pcs,,77,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,11
ADYAR ANANDA BHAVAN (Pure Veg),Mini Tiffin ,Pongal + 1 Idly + Mini Medhuvadai + Mini Masal Dosai + Kesari,150,,,,0,Veg,,,07:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,12
ADYAR ANANDA BHAVAN (Pure Veg),Plain Dosai,,77,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,1
ADYAR ANANDA BHAVAN (Pure Veg),Masala Dosai,,88,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,2
ADYAR ANANDA BHAVAN (Pure Veg),Onion Dosai,,88,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,3
ADYAR ANANDA BHAVAN (Pure Veg),Rava Dosai,,88,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,4
ADYAR ANANDA BHAVAN (Pure Veg),Kal Dosai Vadai Curry,,88,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,5
ADYAR ANANDA BHAVAN (Pure Veg),Ghee Small Onion Uthappam,,110,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,6
ADYAR ANANDA BHAVAN (Pure Veg),Podi Masla Dosai,,110,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,7
ADYAR ANANDA BHAVAN (Pure Veg),Ghee Roast,,110,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,8
ADYAR ANANDA BHAVAN (Pure Veg),Ghee Masala Roast,,138,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,9
ADYAR ANANDA BHAVAN (Pure Veg),Onion Rava Masala Dosai,,121,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,10
ADYAR ANANDA BHAVAN (Pure Veg),Special Dosa of the Day,,143,,,,0,Veg,,,08:00AM,11:00AM,,,05:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,2,11
ADYAR ANANDA BHAVAN (Pure Veg),Curd Rice,,72,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,1
ADYAR ANANDA BHAVAN (Pure Veg),Sambar Rice,,72,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,2
ADYAR ANANDA BHAVAN (Pure Veg),Variety Rice,,66,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,3
ADYAR ANANDA BHAVAN (Pure Veg),Chappathi 2Nos,,77,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,4
ADYAR ANANDA BHAVAN (Pure Veg),Parotta Kurma 2Nos,,88,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,5
ADYAR ANANDA BHAVAN (Pure Veg),Mini Lunch,,121,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,6
ADYAR ANANDA BHAVAN (Pure Veg),South Indian Meals,,143,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,7
ADYAR ANANDA BHAVAN (Pure Veg),Vegetable Dum Biriyani,,198,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,8
ADYAR ANANDA BHAVAN (Pure Veg),A2B Spl North Indian Thail,,220,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,9
ADYAR ANANDA BHAVAN (Pure Veg),A2B Spl South Indian Meals,,193,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,10
ADYAR ANANDA BHAVAN (Pure Veg),Chilly Idly,,121,,,,0,Veg,,,,,,,06:00PM,07:30PM,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,1
ADYAR ANANDA BHAVAN (Pure Veg),Chilly Parotta,,121,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,2
ADYAR ANANDA BHAVAN (Pure Veg),Veg Fried Rice,,176,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,3
ADYAR ANANDA BHAVAN (Pure Veg),Veg Noodles,,187,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,4
ADYAR ANANDA BHAVAN (Pure Veg),Mushroom Fried Rice,,198,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,5
ADYAR ANANDA BHAVAN (Pure Veg),Schezwan Fried Rice,,198,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,6
ADYAR ANANDA BHAVAN (Pure Veg),Panner Fried Rice,,198,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,7
ADYAR ANANDA BHAVAN (Pure Veg),Mushroom Noodles,,204,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,8
ADYAR ANANDA BHAVAN (Pure Veg),Schezwan Noodles,,204,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,9
ADYAR ANANDA BHAVAN (Pure Veg),Panner Noodles,,204,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Items,,0,,4,10
ADYAR ANANDA BHAVAN (Pure Veg),Gobi Manchurian,,198,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,1
ADYAR ANANDA BHAVAN (Pure Veg),Gobi 65,,187,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,2
ADYAR ANANDA BHAVAN (Pure Veg),Baby Corn Pepper Fry,,187,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,3
ADYAR ANANDA BHAVAN (Pure Veg),Mushroom Pepper Fry,,187,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,4
ADYAR ANANDA BHAVAN (Pure Veg),Panner 65,,220,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,5
ADYAR ANANDA BHAVAN (Pure Veg),Mushroom Manchurian Dry,,220,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,6
ADYAR ANANDA BHAVAN (Pure Veg),Chilly Panner Dry,,209,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,7
ADYAR ANANDA BHAVAN (Pure Veg),Panner Tikka,,242,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,8
ADYAR ANANDA BHAVAN (Pure Veg),Mushroom Tikka,,220,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,9
ADYAR ANANDA BHAVAN (Pure Veg),Veg Spring Roll,,198,,,,0,Veg,12:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,5,10
ADYAR ANANDA BHAVAN (Pure Veg),Roti 1 Pc,,44,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,1
ADYAR ANANDA BHAVAN (Pure Veg),Butter Roti 1 Pc,,55,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,2
ADYAR ANANDA BHAVAN (Pure Veg),Plain Naan 1 Pc,,55,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,3
ADYAR ANANDA BHAVAN (Pure Veg),Phulka 2 Pcs,,44,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,4
ADYAR ANANDA BHAVAN (Pure Veg),Butte Naan,,66,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,5
ADYAR ANANDA BHAVAN (Pure Veg),Tandoori Paratha,,66,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,6
ADYAR ANANDA BHAVAN (Pure Veg),Stuffed Kulcha,,83,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,7
ADYAR ANANDA BHAVAN (Pure Veg),Stuffed Paratha,,83,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,8
ADYAR ANANDA BHAVAN (Pure Veg),Garlic Naan,,77,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,9
ADYAR ANANDA BHAVAN (Pure Veg),Aloo Paratha,,77,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,10
ADYAR ANANDA BHAVAN (Pure Veg),Cheese Paratha,,99,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,11
ADYAR ANANDA BHAVAN (Pure Veg),Panner Paratha,,99,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,6,12
ADYAR ANANDA BHAVAN (Pure Veg),Dhal Fry,,176,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,1
ADYAR ANANDA BHAVAN (Pure Veg),Kadai Vegetable Gravy,,198,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,2
ADYAR ANANDA BHAVAN (Pure Veg),Mushroom Masala,,220,,,,0,Veg,,,,,,,07:30PM,09:00PM,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,3
