restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ADAYAR ANANDA BHAVAN,Idly 2Nos,,41,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,1
ADAYAR ANANDA BHAVAN,Medhu Vadai,,29,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,2
ADAYAR ANANDA BHAVAN,Curd Vadai,,46,,,,0,Veg,,,08:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,3
ADAYAR ANANDA BHAVAN,Sambar Vadai,,46,,,,0,Veg,,,08:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,6
ADAYAR ANANDA BHAVAN,Sambar Idly 2Nos,,58,,,,0,Veg,,,08:00AM,10:00AM,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,7
ADAYAR ANANDA BHAVAN,Rava Kesari,,58,,,,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,8
ADAYAR ANANDA BHAVAN,Rava Kichadi,,58,,,,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,9
ADAYAR ANANDA BHAVAN,Idiyappam With Kuruma 3Nos,,58,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,10
ADAYAR ANANDA BHAVAN,Ghee Pongal,,69,,,,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,10,11
ADAYAR ANANDA BHAVAN,Poori Masala,,69,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,9,1
ADAYAR ANANDA BHAVAN,14 Idly,,69,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,9,2
ADAYAR ANANDA BHAVAN,Plain Dosai,,69,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,3
ADAYAR ANANDA BHAVAN,Masala Dosai,,87,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,4
ADAYAR ANANDA BHAVAN,Onion Dosai,,92,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,5
ADAYAR ANANDA BHAVAN,Rava Dosai,,92,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,6
ADAYAR ANANDA BHAVAN,Kal Dosai Vadai Curry,,92,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,7
ADAYAR ANANDA BHAVAN,Ghee Small Onion Dosai,,98,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,8
ADAYAR ANANDA BHAVAN,Podi Masla Dosai,,98,,,,0,Veg,,,08:00AM,10:00AM,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosai Corner,,0,,9,9
