restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ARUN SWEET,Kadalai Mittai (250 Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,1
ARUN SWEET,Kadalai Mittai (24 Pcs),,60,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,2
ARUN SWEET,Edicha Kadalai Mittai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,3
ARUN SWEET,Edicha Kadalai Urundai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,4
ARUN SWEET,Katalai Mittai Urundai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,5
ARUN SWEET,Ellu Mittai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,6
ARUN SWEET,Ellu Urundai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,7
ARUN SWEET,PottuKalai Urundai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Kadalai Mittai & Ellu Mittai,,0,,10,8
ARUN SWEET,Poondu Sevu (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,10,9
ARUN SWEET,Enji Marappan,,20,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,10,10
ARUN SWEET,Kai Murukku (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,10,11
ARUN SWEET,Coconut Milk Murukku (5pcs),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,10,12
ARUN SWEET,Thattu Vadai (200Gram),,65,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,1
ARUN SWEET,Omam Murukku Chettinadu (10pcs),,85,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,2
ARUN SWEET,Chettinadu Seedai (200Gram),,85,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,3
ARUN SWEET,Chettinadu Seepu Seedai (200Gram),,85,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,4
ARUN SWEET,Chettinadu Manakolam (200Gram),,85,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,5
ARUN SWEET,Chettinadu Kai Murukku (5pcs),,60,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,6
ARUN SWEET,Achu Murukku (5pcs),,30,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,7
ARUN SWEET,Ghee Pasiparuppu Urundai (4pcs),,50,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Murukku & Seedai ,,0,,9,8
ARUN SWEET,Adhirasam (5pcs),,60,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Adhirasam,,0,,9,9
ARUN SWEET,Tirunelveli Alwa (250Gram,,80,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Alwa,,0,,9,10
ARUN SWEET,Maskoth Alwa (200Gram),,60,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Alwa,,0,,8,1
ARUN SWEET,Thenmittai (1pkt),,40,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,8,2
ARUN SWEET,Karupatti (250Gram),,125,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,8,3
ARUN SWEET,Amul Butter Cookies (400Gram),,250,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,8,4
ARUN SWEET,Karupatti Seedai (200Gram),,80,,,,0,Veg,10:00AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Snacks,,0,,8,5
