restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BAKERS NEST,French Fries,,55,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bites,,0,,1,1
BAKERS NEST,Cheesy Fries,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bites,,0,,1,1
BAKERS NEST,Smileys,,55,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bites,,0,,1,2
BAKERS NEST,Veg Nuggets,,66,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bites,,0,,1,2
BAKERS NEST,Chicken Nuggets,,88,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bites,,0,,1,1
BAKERS NEST,Veg Roll,,66,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bites,,0,,1,1
BAKERS NEST,Veg Sandwich,,66,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Coleslaw Sandwich,,66,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Cheesecorn Sandwich,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Spicy Cheese Sandwich,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Mushroom Sandwich,,99,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Chocolate Sandwich,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Paneer Sandwich,,99,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Egg Mayo Sandwich,,66,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Chicken Tikka Sandwich,,99,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Chicken Teriyaki Sandwich,,110,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Chicken Periperi Sandwich,,110,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,1,1
BAKERS NEST,Sizzle Dazzle Brownie,,165,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Desearts,,0,,1,1
BAKERS NEST,Black Forest Trophy,,165,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Desearts,,0,,1,1
BAKERS NEST,Choco Lava,,77,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Desearts,,0,,1,1
BAKERS NEST,Fried Ice Cream,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Desearts,,0,,1,1
BAKERS NEST,Bluesea,,55,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sparklers,,0,,1,1
BAKERS NEST,Mojito,,55,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sparklers,,0,,1,1
BAKERS NEST,Fiery Blast,,66,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sparklers,,0,,1,1
BAKERS NEST,Zero Beer,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sparklers,,0,,1,1
BAKERS NEST,Fresh Lime Sweet,,33,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chillers,,0,,1,1
BAKERS NEST,Fresh Lime Salt,,33,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chillers,,0,,1,1
BAKERS NEST,Ice Longtea,,55,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chillers,,0,,1,1
BAKERS NEST,Jus De Raisin,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chillers,,0,,1,1
BAKERS NEST,Vanila Milkshake,,77,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Alphonsa Milkshake,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Banana Milkshake,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Pineapple Milkshake,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Orange Milkshake,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Strawberry Milkshake,,88,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Lyche Milkshake,,99,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Kiwi Milkshake,,99,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Guava Milkshake,,99,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Blueberry Milkshake,,110,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fruit Milkshake,,0,,1,1
BAKERS NEST,Chocolate Milkshake,,99,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chocolate Milkshake,,0,,1,1
BAKERS NEST,Frappe Milkshake,,110,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chocolate Milkshake,,0,,1,1
BAKERS NEST,Veg Burger,,77,,,,0,0,veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,1,1
BAKERS NEST,Chicken Burger,,99,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,1,1
BAKERS NEST,Fried Chicken Burger,,132,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,1,1
BAKERS NEST,Factory Special,,154,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger,,0,,1,1
BAKERS NEST,Fried,,165,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Factory Special Wings,,0,,1,1
BAKERS NEST,Sweet Soul,,198,,,,0,0,Non Veg,10:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Factory Special Wings,,0,,1,1
