restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
BHARATHI DOSA CORNER,Idly (2 Pcs),,30,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
BHARATHI DOSA CORNER,Pongal,,50,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,1
BHARATHI DOSA CORNER,Roast,,50,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,1
BHARATHI DOSA CORNER,Rava Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,1
BHARATHI DOSA CORNER,Vada,,10,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,5,1
BHARATHI DOSA CORNER,Onion Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,1
BHARATHI DOSA CORNER,Ghee Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
BHARATHI DOSA CORNER,Butter Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,2,2
BHARATHI DOSA CORNER,Masal Roast,,60,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,3,2
BHARATHI DOSA CORNER,Ghee Rava Roast,,70,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,2
BHARATHI DOSA CORNER,Onion Rava Roast,,70,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,5,2
BHARATHI DOSA CORNER,Sambar Idly,,40,,,,0,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,6,2
BHARATHI DOSA CORNER,Veg Biriyani,,60,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,7,2
BHARATHI DOSA CORNER,Curd Rice,,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,1,3
BHARATHI DOSA CORNER,Tomatto Rice,,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,2,3
BHARATHI DOSA CORNER,Thamarin Rice,,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,3
BHARATHI DOSA CORNER,lemon Rice,,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,4,3
BHARATHI DOSA CORNER,Sambar Rice,,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,5,3
BHARATHI DOSA CORNER,Parotta(2 No),,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,1,4
BHARATHI DOSA CORNER,Chappathi (2Nos),,50,,,,0,0,Veg,,,11:00AM,04:30PM,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,2,4
BHARATHI DOSA CORNER,Ghee Masal Roast,,70,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,3,4
BHARATHI DOSA CORNER,Idiyappam (2Nos),,40,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,4,4
BHARATHI DOSA CORNER,Veg Kothu Parotta,,70,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,5,4
BHARATHI DOSA CORNER,Mushroom Kothu Parotta,,90,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,6,4
BHARATHI DOSA CORNER,Mushroom Roast,,90,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,7,4
BHARATHI DOSA CORNER,Bun Parotta ( 1pc),,50,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,1,5
BHARATHI DOSA CORNER,Kal Dosai,,50,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,2,5
BHARATHI DOSA CORNER,Idly (2 Pcs),,30,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,1,1
BHARATHI DOSA CORNER,Roast,,50,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,3,1
BHARATHI DOSA CORNER,Rava Roast,,60,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,4,1
BHARATHI DOSA CORNER,Onion Roast,,60,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,6,1
BHARATHI DOSA CORNER,Ghee Roast,,60,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,1,2
BHARATHI DOSA CORNER,Butter Roast,,60,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,2,2
BHARATHI DOSA CORNER,Masal Roast,,60,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,3,2
BHARATHI DOSA CORNER,Ghee Rava Roast,,70,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,4,2
BHARATHI DOSA CORNER,Onion Rava Roast,,70,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,5,2
BHARATHI DOSA CORNER,Sambar Idly,,40,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,6,2
BHARATHI DOSA CORNER,Parotta(2 No),,50,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,1,4
BHARATHI DOSA CORNER,Chappathi (2Nos),,50,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,2,4
BHARATHI DOSA CORNER,Garlic Podi Roast,,70,,,,0,0,Veg,,,,,,,06:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dinner,,0,,6,2
