restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
CAFE 360 LITE,Idly 2 Pcs,,25,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idlys,,0,,1,1
CAFE 360 LITE,Button Idly 10 Pcs,,40,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idlys,,0,,1,2
CAFE 360 LITE,Sambar Idly 2 Pcs,,45,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idlys,,0,,1,3
CAFE 360 LITE,Button Podi Idly 10 Pcs,,55,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idlys,,0,,1,4
CAFE 360 LITE,Thatu Idly 2 Pcs,,40,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Idlys,,0,,1,5
CAFE 360 LITE,Dosa,,35,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,1
CAFE 360 LITE,Onion Dosa,,45,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,2
CAFE 360 LITE,Podi Dosa,,45,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,3
CAFE 360 LITE,Garlic Dosa,,50,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,4
CAFE 360 LITE,Masala Dosa,,60,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,5
CAFE 360 LITE,Salem Vattam ,,50,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,6
CAFE 360 LITE,Ghee Dosa,,50,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,7
CAFE 360 LITE,Egg Dosa,,50,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,8
CAFE 360 LITE,Kari Dosa,,85,,,,0,0,veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,9
CAFE 360 LITE,Poori 2 Nos,,50,,,,0,0,veg,,,08:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,1
CAFE 360 LITE,Pongal and Mini Vada,,60,,,,0,0,veg,,,08:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,2
CAFE 360 LITE,Chappathi 2 Pcs,,50,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,3
CAFE 360 LITE,Sambar Vada,,30,,,,0,0,veg,,,08:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,4
CAFE 360 LITE,Curd Vada,,30,,,,0,0,veg,,,08:00AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,5
CAFE 360 LITE,Parotta 1 Set with Veg Kuruma,,40,,,,0,0,veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,6
CAFE 360 LITE,Parotta 1 Set Non Veg Kulambu,,40,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,7
CAFE 360 LITE,Kerala Parotta 1 Set Veg Kuruma,,40,,,,0,0,veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,8
CAFE 360 LITE,Kerala Parotta 1 Set Non Veg Kulambu,,40,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,8
CAFE 360 LITE,Bun Parotta 1 Set with Veg Kuruma,,40,,,,0,0,veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,9
CAFE 360 LITE,Bun Parotta 1 Set Non Veg Kulambu,,40,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,10
CAFE 360 LITE,Poricha Parotta 1 Set with Veg Kuruma,,55,,,,0,0,veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,11
CAFE 360 LITE,Poricha Parotta 1 Set with Non Veg Kulambu,,55,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,12
CAFE 360 LITE,Kothu Parotta Veg,,85,,,,0,0,veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,13
CAFE 360 LITE,Kothu Parotta Non Veg,,85,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,14
CAFE 360 LITE,Chicken Kothu Parotta,,105,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,15
CAFE 360 LITE,Kudal Kothu Parotta,,120,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,16
CAFE 360 LITE,Veechu Parotta,,30,,,,0,0,Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,17
CAFE 360 LITE,Egg Veechu Parotta,,45,,,,0,0,Non Veg,,,,,,,11:00AM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,18
CAFE 360 LITE,Paniyaram 7 Pcs,,30,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,19
CAFE 360 LITE,Egg Paniyaram 5 Pcs,,45,,,,0,0,Non Veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,20
CAFE 360 LITE,Kari Paniyaram 5 Pcs,,60,,,,0,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,21
CAFE 360 LITE,Appam 2 Pcs,,60,,,,0,0,veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,22
CAFE 360 LITE,Egg Appam 1 Pc,,45,,,,0,0,Non Veg,,,08:00AM,11:00AM,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,23
CAFE 360 LITE,Chicken Keema Appam,,60,,,,0,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,24
CAFE 360 LITE,Leaf Tham Parotta Veg,,110,,,,0,0,veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,25
CAFE 360 LITE,Leaf Tham Parota Non-Veg,,140,,,,0,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,3,26
CAFE 360 LITE,Veg Briyani,,55,,,,0,0,veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,1
CAFE 360 LITE,Mushroom Briyani,,65,,,,0,0,veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,2
CAFE 360 LITE,Panner Briyani,,65,,,,0,0,veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,3
CAFE 360 LITE,Chicken Briyani,,70,,,,0,0,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,4
CAFE 360 LITE,Egg Briyani,,60,,,,0,0,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,5
CAFE 360 LITE,Fish Briyani,,85,,,,0,0,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,6
CAFE 360 LITE,Prawn Briyani,,85,,,,0,0,Non Veg,,,,,12:00PM,03:00PM,,,"1,2,3,4,5,6,7",1,,Biriyanis,,0,,4,7
CAFE 360 LITE,Veg Fried Rice,,90,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
CAFE 360 LITE,Mushroom Fried Rice,,95,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,2
CAFE 360 LITE,Egg Fried Rice,,95,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,3
CAFE 360 LITE,Chicken Fried Rice,,110,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,4
CAFE 360 LITE,Fish Fried Rice,,120,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,5
CAFE 360 LITE,Prawn Fried Rice,,140,,,,0,0,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,6
CAFE 360 LITE,Veg Noodles,,100,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,7
CAFE 360 LITE,Mushroom Noodles,,105,,,,0,0,veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,8
